time,t9,rho,b10,b11,b12,b13,b14,b8,be10,be11,be12,be7,be9,c10,c11,c12,c13,c14,c15,c16,c9,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,h1,h2,h3,he3,he4,he6,li6,li7,li8,li9,n,n11,n12,n13,n14,n15,n16,n17,n18,ne16,ne17,ne18,ne19,ne20,ne21,ne22,ne23,ne24,ne25,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21
1.77059935e-09,1.99999999e-01,1.49999999e+04,7.39400681e-35,7.77186604e-36,2.99161092e-56,1.95739727e-77,5.61734977e-101,1.65801476e-20,8.32379500e-51,1.63594482e-72,2.07784718e-94,9.97166763e-14,8.88832631e-30,1.96570435e-59,7.32545077e-27,1.89972456e-04,2.13235836e-06,2.34700288e-23,1.17678656e-44,5.55403217e-67,4.59257563e-28,0.00000000e+00,2.01697815e-63,5.94323340e-33,8.33468896e-13,3.80905879e-16,6.21739811e-12,2.68714045e-30,5.58637631e-49,6.10886465e-72,7.53523627e-95,7.12941123e-01,3.35690858e-20,8.51128537e-21,1.14787679e-05,6.91377298e-02,6.96584812e-72,4.54502193e-30,1.16427602e-26,3.17743400e-47,4.05027442e-68,8.83100144e-20,0.00000000e+00,1.57656617e-35,3.47169484e-11,5.71014250e-05,2.10640966e-07,1.38582981e-28,2.28335619e-50,5.94522464e-73,1.20070990e-207,5.33224979e-228,4.33448688e-23,1.55946308e-25,7.17611355e-05,1.71411363e-07,5.27977883e-06,5.41345849e-26,3.77332947e-47,1.66482168e-68,9.06506942e-249,7.75857247e-43,7.42281732e-19,8.39157028e-12,3.62073935e-04,1.37916146e-07,7.24775150e-07,6.94854382e-28,1.75987849e-47,1.92170367e-69
1.88664080e-09,1.99999999e-01,1.49999999e+04,8.71949054e-35,9.81721615e-36,4.18990590e-56,3.03012837e-77,9.61032833e-101,1.88246154e-20,1.02170585e-50,2.24575802e-72,3.17226603e-94,1.06251902e-13,9.75744273e-30,2.81194603e-59,8.31710681e-27,1.89972479e-04,2.13235828e-06,2.62315974e-23,1.47015008e-44,7.74108116e-67,5.55600835e-28,0.00000000e+00,2.43959530e-63,6.74576231e-33,8.88092738e-13,4.05869623e-16,6.62454224e-12,3.19347067e-30,7.41035401e-49,9.01501702e-72,1.23054649e-94,7.12941123e-01,3.74973819e-20,9.51195791e-21,1.14787678e-05,6.91377299e-02,8.13843976e-72,5.32478391e-30,1.39084037e-26,4.17986774e-47,5.93637288e-68,9.19225571e-20,0.00000000e+00,1.90729966e-35,3.69922282e-11,5.71014245e-05,2.10687344e-07,1.54908502e-28,2.85305776e-50,8.28744155e-73,1.64706878e-207,8.09355318e-228,4.92125123e-23,1.77056921e-25,7.17611355e-05,1.71411363e-07,5.27977883e-06,6.05042571e-26,4.71432773e-47,2.32052144e-68,1.16843659e-248,1.00003683e-42,8.42765275e-19,8.94153654e-12,3.62073935e-04,1.37916133e-07,7.24703097e-07,7.76563131e-28,2.19864726e-47,2.67846381e-69
2.01028738e-09,1.99999999e-01,1.49999998e+04,1.02666490e-34,1.24005870e-35,5.86276308e-56,4.66972557e-77,1.62285169e-100,2.13729182e-20,1.25047330e-50,3.07341409e-72,4.81637386e-94,1.13215432e-13,1.06902793e-29,4.01589344e-59,9.44300476e-27,1.89972503e-04,2.13235819e-06,2.92926733e-23,1.83353120e-44,1.07636138e-66,6.72155071e-28,0.00000000e+00,2.95072331e-63,7.65650924e-33,9.46296514e-13,4.32469433e-16,7.05832492e-12,3.79134942e-30,9.81293464e-49,1.32570473e-71,1.99095214e-94,7.12941123e-01,4.18504437e-20,1.06209953e-20,1.14787678e-05,6.91377300e-02,9.48985184e-72,6.22696288e-30,1.66027100e-26,5.48612043e-47,8.66905824e-68,9.55611376e-20,0.00000000e+00,2.30741488e-35,3.94166255e-11,5.71014240e-05,2.10736748e-07,1.73008312e-28,3.55889384e-50,1.15249322e-72,2.25896520e-207,1.22428768e-227,5.58744653e-23,2.01025299e-25,7.17611355e-05,1.71411363e-07,5.27977883e-06,6.75647555e-26,5.88003446e-47,3.22676908e-68,1.50608187e-248,1.28901980e-42,9.56851396e-19,9.52754647e-12,3.62073935e-04,1.37916120e-07,7.24626329e-07,8.67123919e-28,2.74215573e-47,3.72433622e-69
2.14203749e-09,1.99999999e-01,1.49999998e+04,1.20693060e-34,1.56597724e-35,8.20127373e-56,7.21886811e-77,2.77186775e-100,2.42661862e-20,1.52576225e-50,4.19074221e-72,7.30543148e-94,1.20635338e-13,1.16875354e-29,5.73536923e-59,1.07213172e-26,1.89972529e-04,2.13235810e-06,3.26811685e-23,2.28243435e-44,1.49320082e-66,8.13160132e-28,0.00000000e+00,3.56888790e-63,8.69003576e-33,1.00831485e-12,4.60812532e-16,7.52048594e-12,4.49655024e-30,1.29682029e-48,1.94755694e-71,3.23704999e-94,7.12941123e-01,4.66677752e-20,1.18484617e-20,1.14787678e-05,6.91377301e-02,1.10441577e-71,7.26862365e-30,1.98040830e-26,7.18088154e-47,1.26360425e-67,9.92127361e-20,0.00000000e+00,2.79146679e-35,4.19999131e-11,5.71014235e-05,2.10789374e-07,1.93048487e-28,4.43106385e-50,1.59906240e-72,3.09980245e-207,1.85656357e-227,6.34382543e-23,2.28238299e-25,7.17611355e-05,1.71411363e-07,5.27977883e-06,7.53804601e-26,7.32025014e-47,4.47668390e-68,1.94132964e-248,1.66153874e-42,1.08638149e-18,1.01519623e-11,3.62073935e-04,1.37916106e-07,7.24544539e-07,9.67359762e-28,3.41360458e-47,5.16674002e-69
2.28242224e-09,1.99999999e-01,1.49999998e+04,1.41648395e-34,1.97686080e-35,1.14632428e-55,1.11450939e-76,4.71272788e-100,2.75511174e-20,1.85561043e-50,5.69340334e-72,1.10433433e-93,1.28541528e-13,1.27495205e-29,8.18424239e-59,1.21726767e-26,1.89972557e-04,2.13235801e-06,3.64271024e-23,2.83572005e-44,2.06634088e-66,9.83745312e-28,0.00000000e+00,4.31648893e-63,9.86285624e-33,1.07439773e-12,4.91013173e-16,8.01287826e-12,5.32718547e-30,1.71032503e-48,2.85441782e-71,5.24448807e-94,7.12941123e-01,5.19918563e-20,1.32051746e-20,1.14787677e-05,6.91377303e-02,1.28269284e-71,8.46808342e-30,2.36040882e-26,9.37337183e-47,1.83658554e-67,1.02862985e-19,0.00000000e+00,3.37706371e-35,4.47525044e-11,5.71014229e-05,2.10845431e-07,2.15207753e-28,5.50632214e-50,2.21319961e-72,4.25444094e-207,2.81327365e-227,7.20259618e-23,2.59135149e-25,7.17611355e-05,1.71411363e-07,5.27977883e-06,8.40206125e-26,9.09556875e-47,6.19542048e-68,2.50238904e-248,2.14173732e-42,1.23344623e-18,1.08173010e-11,3.62073935e-04,1.37916091e-07,7.24457399e-07,1.07815551e-27,4.24121881e-47,7.15004619e-69
2.43200751e-09,1.99999999e-01,1.49999998e+04,1.65949417e-34,2.49442511e-35,1.60034764e-55,1.71851483e-76,8.01187407e-100,3.12807315e-20,2.24918995e-50,7.70407578e-72,1.66261781e-93,1.36965875e-13,1.38757775e-29,1.16664881e-58,1.38205089e-26,1.89972587e-04,2.13235791e-06,4.05624600e-23,3.51613660e-44,2.85148517e-66,1.19011594e-27,0.00000000e+00,5.22060972e-63,1.11936985e-32,1.14481156e-12,5.23193092e-16,8.53747536e-12,6.30416313e-30,2.25088387e-48,4.17185065e-71,8.47656563e-94,7.12941122e-01,5.78679390e-20,1.47026507e-20,1.14787677e-05,6.91377304e-02,1.48657667e-71,9.84528306e-30,2.81099118e-26,1.22003266e-46,2.66025499e-67,1.06496577e-19,0.00000000e+00,4.08550790e-35,4.76854954e-11,5.71014224e-05,2.10905141e-07,2.39676696e-28,6.82902022e-50,3.05468078e-72,5.83983206e-207,4.26044255e-227,8.17761970e-23,2.94214536e-25,7.17611355e-05,1.71411363e-07,5.27977883e-06,9.35589869e-26,1.12790918e-46,8.55013294e-68,3.22562802e-248,2.76074225e-42,1.40041930e-18,1.15262447e-11,3.62073935e-04,1.37916074e-07,7.24364559e-07,1.20045353e-27,5.25904509e-47,9.86705333e-69
2.59139630e-09,1.99999999e-01,1.49999998e+04,1.94060965e-34,3.14571071e-35,2.23117511e-55,2.64472726e-76,1.35694814e-99,3.55152252e-20,2.71663922e-50,1.03814275e-71,2.49254493e-93,1.45942335e-13,1.50648681e-29,1.66115254e-58,1.56914107e-26,1.89972618e-04,2.13235780e-06,4.51211643e-23,4.35079111e-44,3.92360360e-66,1.43977912e-27,0.00000000e+00,6.31399492e-63,1.27037986e-32,1.21984016e-12,5.57482006e-16,9.09637901e-12,7.45161519e-30,2.95572045e-48,6.07958317e-71,1.36493339e-93,7.12941122e-01,6.43440084e-20,1.63530942e-20,1.14787676e-05,6.91377305e-02,1.71908571e-71,1.14220312e-29,3.34468980e-26,1.58321415e-46,3.83978715e-67,1.10097486e-19,0.00000000e+00,4.94257043e-35,5.08107091e-11,5.71014217e-05,2.10968742e-07,2.66657642e-28,8.45203974e-50,4.20398232e-72,8.01669289e-207,6.44523159e-227,9.28463323e-23,3.34042652e-25,7.17611355e-05,1.71411363e-07,5.27977883e-06,1.04073829e-25,1.39579539e-46,1.17658221e-67,4.15792897e-248,3.55867936e-42,1.58999571e-18,1.22816510e-11,3.62073935e-04,1.37916057e-07,7.24265648e-07,1.33525273e-27,6.50765919e-47,1.35772568e-68
2.76123110e-09,1.99999999e-01,1.49999998e+04,2.26496871e-34,3.96435413e-35,3.10583348e-55,4.06379586e-76,2.29670375e-99,4.03229442e-20,3.26921226e-50,1.39270475e-71,3.71993565e-93,1.55507093e-13,1.63143094e-29,2.36261647e-58,1.78155794e-26,1.89972652e-04,2.13235768e-06,5.01390889e-23,5.37206186e-44,5.38219016e-66,1.74181675e-27,0.00000000e+00,7.63623246e-63,1.44172350e-32,1.29978598e-12,5.94018134e-16,9.69182752e-12,8.79729867e-30,3.87223485e-48,8.83270317e-71,2.19234340e-93,7.12941122e-01,7.14707968e-20,1.81693980e-20,1.14787676e-05,6.91377307e-02,1.98345613e-71,1.32218419e-29,3.97613319e-26,2.04801889e-46,5.52138859e-67,1.13649117e-19,0.00000000e+00,5.97942867e-35,5.41407435e-11,5.71014211e-05,2.11036484e-07,2.96364767e-28,1.04385827e-49,5.76794691e-72,1.10063114e-206,9.74478242e-227,1.05415044e-22,3.79262337e-25,7.17611355e-05,1.71411363e-07,5.27977883e-06,1.15647881e-25,1.72362650e-46,1.61411459e-67,5.35972495e-248,4.58727237e-42,1.80523532e-18,1.30865651e-11,3.62073935e-04,1.37916039e-07,7.24160269e-07,1.48360889e-27,8.03553391e-47,1.86250626e-68
2.94219653e-09,1.99999999e-01,1.49999998e+04,2.63821375e-34,4.99213065e-35,4.31592082e-55,6.23173945e-76,3.87825168e-99,4.57814859e-20,3.91916230e-50,1.85965113e-71,5.52519449e-93,1.65698706e-13,1.76204977e-29,3.35629301e-58,2.02273002e-26,1.89972688e-04,2.13235756e-06,5.56540726e-23,6.61839353e-44,7.35931147e-66,2.10721599e-27,0.00000000e+00,9.23518156e-63,1.63613067e-32,1.38497129e-12,6.32948751e-16,1.03262045e-11,1.03730627e-29,5.06066663e-48,1.27915293e-70,3.50984783e-93,7.12941122e-01,7.93018034e-20,2.01651467e-20,1.14787675e-05,6.91377308e-02,2.28314664e-71,1.52698897e-29,4.72235756e-26,2.64052655e-46,7.90808031e-67,1.17134475e-19,0.00000000e+00,7.23380047e-35,5.76890220e-11,5.71014203e-05,2.11108636e-07,3.29024232e-28,1.28637431e-49,7.88844894e-72,1.51124123e-206,1.47214037e-226,1.19685197e-22,4.30603453e-25,7.17611355e-05,1.71411363e-07,5.27977883e-06,1.28368422e-25,2.12376836e-46,2.20726081e-67,6.90892305e-248,5.91320077e-42,2.04961217e-18,1.39442317e-11,3.62073934e-04,1.37916020e-07,7.24048001e-07,1.64663492e-27,9.90023328e-47,2.54676608e-68
3.13502206e-09,1.99999999e-01,1.49999998e+04,3.06649946e-34,6.28081351e-35,5.98598426e-55,9.53392680e-76,6.53399452e-99,5.19789521e-20,4.67965554e-50,2.47107647e-71,8.16379403e-93,1.76558256e-13,1.89786216e-29,4.76184186e-58,2.29654997e-26,1.89972726e-04,2.13235743e-06,6.17058837e-23,8.13530063e-44,1.00290255e-65,2.54926886e-27,0.00000000e+00,1.11686983e-62,1.85669607e-32,1.47573946e-12,6.74430785e-16,1.10020484e-11,1.22153700e-29,6.59730404e-48,1.84615938e-70,5.59919831e-93,7.12941122e-01,8.78932406e-20,2.23546000e-20,1.14787675e-05,6.91377310e-02,2.62182118e-71,1.75928938e-29,5.60316950e-26,3.39277602e-46,1.12788283e-66,1.20536431e-19,0.00000000e+00,8.75131615e-35,6.14698482e-11,5.71014196e-05,2.11185483e-07,3.64874018e-28,1.58164882e-49,1.07525493e-71,2.07522723e-206,2.22192887e-226,1.35887116e-22,4.88894662e-25,7.17611355e-05,1.71411363e-07,5.27977883e-06,1.42327179e-25,2.61086634e-46,3.00828881e-67,8.90594506e-248,7.62241417e-42,2.32707062e-18,1.48581079e-11,3.62073934e-04,1.37915999e-07,7.23928394e-07,1.82549967e-27,1.21699195e-46,3.47076567e-68
