time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne20,X_ne20
1.96441428e-09,4.48100000e-01,4.06600000e+03,2.34487219e-03,7.12941007e-01,7.12941007e-01,6.91378321e-02,2.76551329e-01,1.90053145e-04,2.28063774e-03,2.13216400e-06,2.77181320e-05,1.02842952e-08,1.33695838e-07,5.70987882e-05,7.99383035e-04,1.30982113e-07,1.96473170e-06,8.69549833e-14,1.21736977e-12,2.90724747e-09,4.36087121e-08,3.62073839e-04,5.79318143e-03,1.37848179e-07,2.34341904e-06,7.13438382e-07,1.28418909e-05,1.05646076e-10,1.79598329e-09,2.11302266e-13,3.80344079e-12,7.17611355e-05,1.43522271e-03
2.11745669e-09,4.48100000e-01,4.06600000e+03,2.26948603e-03,7.12941000e-01,7.12941000e-01,6.91378386e-02,2.76551354e-01,1.90057830e-04,2.28069396e-03,2.13214877e-06,2.77179340e-05,1.10856763e-08,1.44113792e-07,5.70985822e-05,7.99380151e-04,1.26450697e-07,1.89676045e-06,1.01032693e-13,1.41445770e-12,3.13373791e-09,4.70060687e-08,3.62073832e-04,5.79318130e-03,1.37842870e-07,2.34332879e-06,7.12478437e-07,1.28246119e-05,1.13876685e-10,1.93590364e-09,2.27742659e-13,4.09936786e-12,7.17611355e-05,1.43522271e-03
2.28242224e-09,4.48100000e-01,4.06600000e+03,2.19190699e-03,7.12940992e-01,7.12940992e-01,6.91378453e-02,2.76551381e-01,1.90062668e-04,2.28075202e-03,2.13213235e-06,2.77177205e-05,1.19495113e-08,1.55343647e-07,5.70983602e-05,7.99377043e-04,1.21776422e-07,1.82664634e-06,1.17389602e-13,1.64345443e-12,3.37787272e-09,5.06680908e-08,3.62073823e-04,5.79318117e-03,1.37837148e-07,2.34323152e-06,7.11445152e-07,1.28060127e-05,1.22748519e-10,2.08672482e-09,2.45460383e-13,4.41828690e-12,7.17611355e-05,1.43522271e-03
2.46023982e-09,4.48100000e-01,4.06600000e+03,2.11236778e-03,7.12940984e-01,7.12940984e-01,6.91378523e-02,2.76551409e-01,1.90067649e-04,2.28081179e-03,2.13211464e-06,2.77174904e-05,1.28806681e-08,1.67448685e-07,5.70981209e-05,7.99373693e-04,1.16971205e-07,1.75456807e-06,1.36394731e-13,1.90952623e-12,3.64102637e-09,5.46153956e-08,3.62073814e-04,5.79318103e-03,1.37830981e-07,2.34312667e-06,7.10333044e-07,1.27859948e-05,1.32311534e-10,2.24929608e-09,2.64554388e-13,4.76197898e-12,7.17611355e-05,1.43522271e-03
2.65191071e-09,4.48100000e-01,4.06600000e+03,2.03114723e-03,7.12940975e-01,7.12940975e-01,6.91378596e-02,2.76551439e-01,1.90072758e-04,2.28087310e-03,2.13209556e-06,2.77172423e-05,1.38843940e-08,1.80497122e-07,5.70978630e-05,7.99370082e-04,1.12049486e-07,1.68074230e-06,1.58476845e-13,2.21867582e-12,3.92468041e-09,5.88702061e-08,3.62073805e-04,5.79318088e-03,1.37824333e-07,2.34301367e-06,7.09136242e-07,1.27644524e-05,1.42619578e-10,2.42453283e-09,2.85131238e-13,5.13236228e-12,7.17611355e-05,1.43522271e-03
2.85851418e-09,4.48100000e-01,4.06600000e+03,1.94857232e-03,7.12940966e-01,7.12940966e-01,6.91378672e-02,2.76551469e-01,1.90077979e-04,2.28093575e-03,2.13207500e-06,2.77169750e-05,1.49663451e-08,1.94562486e-07,5.70975849e-05,7.99366189e-04,1.07028342e-07,1.60542513e-06,1.84134135e-13,2.57787788e-12,4.23043175e-09,6.34564763e-08,3.62073794e-04,5.79318071e-03,1.37817168e-07,2.34289186e-06,7.07848458e-07,1.27412722e-05,1.53730695e-10,2.61342181e-09,3.07305695e-13,5.53150251e-12,7.17611355e-05,1.43522271e-03
3.08121359e-09,4.48100000e-01,4.06600000e+03,1.86501916e-03,7.12940957e-01,7.12940957e-01,6.91378751e-02,2.76551500e-01,1.90083292e-04,2.28099950e-03,2.13205283e-06,2.77166868e-05,1.61326183e-08,2.09724038e-07,5.70972852e-05,7.99361993e-04,1.01927530e-07,1.52891294e-06,2.13945454e-13,2.99523636e-12,4.56000173e-09,6.84000259e-08,3.62073783e-04,5.79318053e-03,1.37809445e-07,2.34276057e-06,7.06462965e-07,1.27163334e-05,1.65707449e-10,2.81702664e-09,3.31201339e-13,5.96162410e-12,7.17611355e-05,1.43522271e-03
3.32126293e-09,4.48100000e-01,4.06600000e+03,1.78091308e-03,7.12940947e-01,7.12940947e-01,6.91378832e-02,2.76551533e-01,1.90088676e-04,2.28106411e-03,2.13202894e-06,2.77163762e-05,1.73897858e-08,2.26067215e-07,5.70969622e-05,7.99357470e-04,9.67694817e-08,1.45154223e-06,2.48583381e-13,3.48016734e-12,4.91524571e-09,7.37286856e-08,3.62073771e-04,5.79318034e-03,1.37801121e-07,2.34261906e-06,7.04972569e-07,1.26895062e-05,1.78617281e-10,3.03649377e-09,3.56951234e-13,6.42512221e-12,7.17611355e-05,1.43522271e-03
3.58001389e-09,4.48100000e-01,4.06600000e+03,1.69672731e-03,7.12940937e-01,7.12940937e-01,6.91378916e-02,2.76551567e-01,1.90094106e-04,2.28112928e-03,2.13200318e-06,2.77160413e-05,1.87449315e-08,2.43684109e-07,5.70966139e-05,7.99352595e-04,9.15792212e-08,1.37368832e-06,2.88829392e-13,4.04361149e-12,5.29816357e-09,7.94724535e-08,3.62073758e-04,5.79318013e-03,1.37792149e-07,2.34246653e-06,7.03369581e-07,1.26606525e-05,1.92532883e-10,3.27305901e-09,3.84698644e-13,6.92457559e-12,7.17611355e-05,1.43522271e-03
3.85892347e-09,4.48100000e-01,4.06600000e+03,1.61298016e-03,7.12940926e-01,7.12940926e-01,6.91379003e-02,2.76551601e-01,1.90099556e-04,2.28119467e-03,2.13197542e-06,2.77156804e-05,2.02056915e-08,2.62673990e-07,5.70962386e-05,7.99347340e-04,8.63841895e-08,1.29576284e-06,3.35591496e-13,4.69828094e-12,5.71091095e-09,8.56636643e-08,3.62073744e-04,5.79317990e-03,1.37782479e-07,2.34230213e-06,7.01645790e-07,1.26296242e-05,2.07532612e-10,3.52805441e-09,4.14597803e-13,7.46276045e-12,7.17611355e-05,1.43522271e-03
