time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne18,X_ne18,Y_ne20,X_ne20
1.96441428e-09,4.17999999e-01,1.49999999e+04,1.49494533e-03,7.12940894e-01,7.12940894e-01,6.91379292e-02,2.76551717e-01,1.90116983e-04,2.28140379e-03,2.13197351e-06,2.77156557e-05,2.14199660e-08,2.78459558e-07,5.70945968e-05,7.99324356e-04,7.80111930e-08,1.17016790e-06,3.36491711e-13,4.71088395e-12,7.34210866e-09,1.10131630e-07,3.62073708e-04,5.79317932e-03,1.37795009e-07,2.34251515e-06,6.91313426e-07,1.24436417e-05,2.48022524e-10,4.21638290e-09,3.62510288e-13,6.52518519e-12,1.20972061e-17,2.17749709e-16,7.17611355e-05,1.43522271e-03
2.11745669e-09,4.17999999e-01,1.49999998e+04,1.41930275e-03,7.12940882e-01,7.12940882e-01,6.91379393e-02,2.76551757e-01,1.90122814e-04,2.28147376e-03,2.13194344e-06,2.77152647e-05,2.30892535e-08,3.00160295e-07,5.70940644e-05,7.99316901e-04,7.31196870e-08,1.09679530e-06,3.90971541e-13,5.47360157e-12,7.91407632e-09,1.18711145e-07,3.62073690e-04,5.79317903e-03,1.37785561e-07,2.34235454e-06,6.88690922e-07,1.23964366e-05,2.67345303e-10,4.54487015e-09,3.90677530e-13,7.03219555e-12,1.40555539e-17,2.52999971e-16,7.17611355e-05,1.43522271e-03
2.28242224e-09,4.17999998e-01,1.49999998e+04,1.34662975e-03,7.12940869e-01,7.12940869e-01,6.91379497e-02,2.76551799e-01,1.90128582e-04,2.28154298e-03,2.13191102e-06,2.77148433e-05,2.48886411e-08,3.23552334e-07,5.70934904e-05,7.99308866e-04,6.83531951e-08,1.02529793e-06,4.54272223e-13,6.35981113e-12,8.53059852e-09,1.27958978e-07,3.62073670e-04,5.79317872e-03,1.37775378e-07,2.34218143e-06,6.85875246e-07,1.23457544e-05,2.88173468e-10,4.89894895e-09,4.21027089e-13,7.57848760e-12,1.63309276e-17,2.93956697e-16,7.17611355e-05,1.43522271e-03
2.46023982e-09,4.17999998e-01,1.49999998e+04,1.27754741e-03,7.12940856e-01,7.12940856e-01,6.91379603e-02,2.76551841e-01,1.90134258e-04,2.28161110e-03,2.13187608e-06,2.77143891e-05,2.68282673e-08,3.48767475e-07,5.70928717e-05,7.99300204e-04,6.37437058e-08,9.56155587e-07,5.27821975e-13,7.38950764e-12,9.19514542e-09,1.37927181e-07,3.62073649e-04,5.79317839e-03,1.37764402e-07,2.34199484e-06,6.82853098e-07,1.22913558e-05,3.10624299e-10,5.28061309e-09,4.53727026e-13,8.16708646e-12,1.89746485e-17,3.41543673e-16,7.17611355e-05,1.43522271e-03
2.65191071e-09,4.17999998e-01,1.49999998e+04,1.21266236e-03,7.12940842e-01,7.12940842e-01,6.91379712e-02,2.76551885e-01,1.90139815e-04,2.28167778e-03,2.13183842e-06,2.77138995e-05,2.89190603e-08,3.75947784e-07,5.70922049e-05,7.99290868e-04,5.93221111e-08,8.89831667e-07,6.13280256e-13,8.58592358e-12,9.91145737e-09,1.48671861e-07,3.62073627e-04,5.79317803e-03,1.37752573e-07,2.34179373e-06,6.79610414e-07,1.22329874e-05,3.34824214e-10,5.69201164e-09,4.88958180e-13,8.80124723e-12,2.20463462e-17,3.96834232e-16,7.17611355e-05,1.43522271e-03
2.85851418e-09,4.17999998e-01,1.49999998e+04,1.15255162e-03,7.12940828e-01,7.12940828e-01,6.91379823e-02,2.76551929e-01,1.90145226e-04,2.28174272e-03,2.13179783e-06,2.77133717e-05,3.11727994e-08,4.05246392e-07,5.70914861e-05,7.99280805e-04,5.51173196e-08,8.26759794e-07,7.12575212e-13,9.97605297e-12,1.06835660e-08,1.60253489e-07,3.62073602e-04,5.79317764e-03,1.37739822e-07,2.34157698e-06,6.76132343e-07,1.21703822e-05,3.60909479e-10,6.13546114e-09,5.26915112e-13,9.48447202e-12,2.56153035e-17,4.61075464e-16,7.17611355e-05,1.43522271e-03
3.08121359e-09,4.17999998e-01,1.49999998e+04,1.09774686e-03,7.12940813e-01,7.12940813e-01,6.91379937e-02,2.76551975e-01,1.90150469e-04,2.28180563e-03,2.13175407e-06,2.77128029e-05,3.36021810e-08,4.36828353e-07,5.70907113e-05,7.99269958e-04,5.11553336e-08,7.67330004e-07,8.27947175e-13,1.15912605e-11,1.15158166e-08,1.72737249e-07,3.62073576e-04,5.79317722e-03,1.37726080e-07,2.34134336e-06,6.72403237e-07,1.21032583e-05,3.89026976e-10,6.61345859e-09,5.67807118e-13,1.02205281e-11,2.97620189e-17,5.35716340e-16,7.17611355e-05,1.43522271e-03
3.32126293e-09,4.17999998e-01,1.49999998e+04,1.04871887e-03,7.12940798e-01,7.12940798e-01,6.91380054e-02,2.76552022e-01,1.90155523e-04,2.28186628e-03,2.13170690e-06,2.77121898e-05,3.62208907e-08,4.70871579e-07,5.70898761e-05,7.99258266e-04,4.74583386e-08,7.11875078e-07,9.61999203e-13,1.34679888e-11,1.24128931e-08,1.86193397e-07,3.62073548e-04,5.79317677e-03,1.37711269e-07,2.34109157e-06,6.68406635e-07,1.20313194e-05,4.19335031e-10,7.12869553e-09,6.11859303e-13,1.10134675e-11,3.45800222e-17,6.22440400e-16,7.17611355e-05,1.43522271e-03
3.58001389e-09,4.17999998e-01,1.49999997e+04,1.00586304e-03,7.12940782e-01,7.12940782e-01,6.91380174e-02,2.76552069e-01,1.90160375e-04,2.28192450e-03,2.13165607e-06,2.77115289e-05,3.90436794e-08,5.07567832e-07,5.70889759e-05,7.99245663e-04,4.40438484e-08,6.60657726e-07,1.11775581e-12,1.56485813e-11,1.33798438e-08,2.00697658e-07,3.62073517e-04,5.79317628e-03,1.37695305e-07,2.34082019e-06,6.64125268e-07,1.19542548e-05,4.52004304e-10,7.68407316e-09,6.59313739e-13,1.18676473e-11,4.01779845e-17,7.23203720e-16,7.17611355e-05,1.43522271e-03
3.85892347e-09,4.17999997e-01,1.49999997e+04,9.69486908e-04,7.12940765e-01,7.12940765e-01,6.91380296e-02,2.76552118e-01,1.90165013e-04,2.28198015e-03,2.13160127e-06,2.77108165e-05,4.20864469e-08,5.47123810e-07,5.70880056e-05,7.99232079e-04,4.09239652e-08,6.13859479e-07,1.29873118e-12,1.81822365e-11,1.44221101e-08,2.16331651e-07,3.62073485e-04,5.79317576e-03,1.37678100e-07,2.34052770e-06,6.59541057e-07,1.18717390e-05,4.87218750e-10,8.28271875e-09,7.10430689e-13,1.27877524e-11,4.66821686e-17,8.40279035e-16,7.17611355e-05,1.43522271e-03
