time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne18,X_ne18,Y_ne20,X_ne20
1.26694246e-08,1.99999996e-01,1.49999990e+04,3.76526599e-03,7.12941114e-01,7.12941114e-01,6.91377389e-02,2.76550956e-01,1.89974639e-04,2.27969567e-03,2.13235093e-06,2.77205621e-05,2.48416544e-10,3.22941508e-09,5.71013819e-05,7.99419347e-04,2.14941846e-07,3.22412768e-06,3.80052395e-17,5.32073353e-16,6.00453799e-11,9.00680699e-10,3.62073930e-04,5.79318288e-03,1.37914972e-07,2.34455452e-06,7.18038923e-07,1.29247006e-05,5.96383935e-12,1.01385269e-10,2.72552110e-15,4.90593798e-14,2.21927321e-21,3.99469177e-20,7.17611355e-05,1.43522271e-03
1.34997528e-08,1.99999996e-01,1.49999990e+04,3.77099395e-03,7.12941113e-01,7.12941113e-01,6.91377396e-02,2.76550958e-01,1.89974807e-04,2.27969769e-03,2.13235036e-06,2.77205547e-05,2.64697367e-10,3.44106577e-09,5.71013786e-05,7.99419301e-04,2.15264973e-07,3.22897459e-06,4.31500630e-17,6.04100883e-16,6.39806285e-11,9.59709427e-10,3.62073930e-04,5.79318288e-03,1.37914882e-07,2.34455300e-06,7.17528297e-07,1.29155093e-05,6.35469711e-12,1.08029851e-10,2.90414376e-15,5.22745878e-14,2.51969867e-21,4.53545760e-20,7.17611355e-05,1.43522271e-03
1.43844989e-08,1.99999995e-01,1.49999989e+04,3.77708502e-03,7.12941112e-01,7.12941112e-01,6.91377404e-02,2.76550961e-01,1.89974987e-04,2.27969984e-03,2.13234976e-06,2.77205469e-05,2.82045217e-10,3.66658782e-09,5.71013751e-05,7.99419252e-04,2.15608575e-07,3.23412862e-06,4.89913496e-17,6.85878894e-16,6.81737848e-11,1.02260677e-09,3.62073930e-04,5.79318287e-03,1.37914787e-07,2.34455138e-06,7.16984605e-07,1.29057229e-05,6.77117086e-12,1.15109905e-10,3.09447267e-15,5.57005080e-14,2.86079305e-21,5.14942749e-20,7.17611355e-05,1.43522271e-03
1.53272295e-08,1.99999995e-01,1.49999989e+04,3.78356134e-03,7.12941111e-01,7.12941111e-01,6.91377411e-02,2.76550965e-01,1.89975179e-04,2.27970214e-03,2.13234912e-06,2.77205386e-05,3.00530026e-10,3.90689034e-09,5.71013714e-05,7.99419200e-04,2.15973899e-07,3.23960849e-06,5.56233806e-17,7.78727329e-16,7.26417516e-11,1.08962627e-09,3.62073929e-04,5.79318287e-03,1.37914686e-07,2.34454965e-06,7.16405734e-07,1.28953032e-05,7.21493945e-12,1.22653971e-10,3.29727496e-15,5.93509494e-14,3.24806175e-21,5.84651116e-20,7.17611355e-05,1.43522271e-03
1.63317447e-08,1.99999995e-01,1.49999988e+04,3.79044630e-03,7.12941110e-01,7.12941110e-01,6.91377420e-02,2.76550968e-01,1.89975383e-04,2.27970460e-03,2.13234844e-06,2.77205297e-05,3.20226312e-10,4.16294206e-09,5.71013674e-05,7.99419144e-04,2.16362264e-07,3.24543396e-06,6.31532007e-17,8.84144810e-16,7.74025394e-11,1.16103809e-09,3.62073929e-04,5.79318286e-03,1.37914577e-07,2.34454781e-06,7.15789439e-07,1.28842099e-05,7.68779171e-12,1.30692459e-10,3.51336809e-15,6.32406256e-14,3.68775544e-21,6.63795980e-20,7.17611355e-05,1.43522271e-03
1.74020937e-08,1.99999994e-01,1.49999987e+04,3.79776456e-03,7.12941110e-01,7.12941110e-01,6.91377429e-02,2.76550971e-01,1.89975602e-04,2.27970722e-03,2.13234771e-06,2.77205202e-05,3.41213474e-10,4.43577517e-09,5.71013632e-05,7.99419085e-04,2.16775058e-07,3.25162587e-06,7.17023454e-17,1.00383284e-15,8.24753389e-11,1.23713008e-09,3.62073928e-04,5.79318285e-03,1.37914462e-07,2.34454586e-06,7.15133337e-07,1.28724001e-05,8.19163373e-12,1.39257773e-10,3.74362304e-15,6.73852147e-14,4.18697094e-21,7.53654769e-20,7.17611355e-05,1.43522271e-03
1.85425913e-08,1.99999994e-01,1.49999986e+04,3.80554214e-03,7.12941109e-01,7.12941109e-01,6.91377438e-02,2.76550975e-01,1.89975835e-04,2.27971002e-03,2.13234693e-06,2.77205101e-05,3.63576118e-10,4.72648953e-09,5.71013587e-05,7.99419022e-04,2.17213746e-07,3.25820619e-06,8.14088026e-17,1.13972324e-15,8.78805987e-11,1.31820898e-09,3.62073928e-04,5.79318284e-03,1.37914339e-07,2.34454377e-06,7.14434898e-07,1.28598282e-05,8.72849651e-12,1.48384441e-10,3.98896789e-15,7.18014219e-14,4.75376578e-21,8.55677841e-20,7.17611355e-05,1.43522271e-03
1.97578347e-08,1.99999993e-01,1.49999985e+04,3.81380641e-03,7.12941107e-01,7.12941107e-01,6.91377448e-02,2.76550979e-01,1.89976084e-04,2.27971301e-03,2.13234610e-06,2.77204993e-05,3.87404392e-10,5.03625710e-09,5.71013539e-05,7.99418955e-04,2.17679870e-07,3.26519804e-06,9.24292402e-17,1.29400936e-15,9.36401075e-11,1.40460161e-09,3.62073927e-04,5.79318284e-03,1.37914208e-07,2.34454154e-06,7.13691434e-07,1.28464458e-05,9.30054415e-12,1.58109251e-10,4.25039152e-15,7.65070473e-14,5.39728825e-21,9.71511886e-20,7.17611355e-05,1.43522271e-03
2.10527227e-08,1.99999993e-01,1.49999984e+04,3.82258623e-03,7.12941106e-01,7.12941106e-01,6.91377459e-02,2.76550984e-01,1.89976351e-04,2.27971621e-03,2.13234522e-06,2.77204878e-05,4.12794356e-10,5.36632663e-09,5.71013488e-05,7.99418883e-04,2.18175052e-07,3.27262578e-06,1.04941535e-16,1.46918148e-15,9.97770819e-11,1.49665623e-09,3.62073927e-04,5.79318283e-03,1.37914069e-07,2.34453917e-06,7.12900097e-07,1.28322017e-05,9.91008262e-12,1.68471404e-10,4.52894762e-15,8.15210572e-14,6.12792505e-21,1.10302651e-19,7.17611355e-05,1.43522271e-03
2.24324750e-08,1.99999993e-01,1.49999983e+04,3.83191188e-03,7.12941105e-01,7.12941105e-01,6.91377471e-02,2.76550988e-01,1.89976635e-04,2.27971962e-03,2.13234428e-06,2.77204756e-05,4.39848364e-10,5.71802873e-09,5.71013433e-05,7.99418807e-04,2.18701000e-07,3.28051500e-06,1.19147642e-16,1.66806698e-15,1.06316260e-10,1.59474390e-09,3.62073926e-04,5.79318282e-03,1.37913920e-07,2.34453664e-06,7.12057863e-07,1.28170415e-05,1.05595690e-11,1.79512672e-10,4.82575893e-15,8.68636607e-14,6.95746894e-21,1.25234441e-19,7.17611355e-05,1.43522271e-03
2.39026535e-08,1.99999992e-01,1.49999982e+04,3.84181523e-03,7.12941104e-01,7.12941104e-01,6.91377483e-02,2.76550993e-01,1.89976939e-04,2.27972327e-03,2.13234328e-06,2.77204626e-05,4.68675478e-10,6.09278122e-09,5.71013375e-05,7.99418725e-04,2.19259504e-07,3.28889256e-06,1.35276857e-16,1.89387600e-15,1.13284002e-10,1.69926003e-09,3.62073925e-04,5.79318281e-03,1.37913762e-07,2.34453395e-06,7.11161525e-07,1.28009075e-05,1.12516213e-11,1.91277562e-10,5.14202174e-15,9.25563913e-14,7.89930907e-21,1.42187563e-19,7.17611355e-05,1.43522271e-03
2.54691844e-08,1.99999992e-01,1.49999981e+04,3.85232967e-03,7.12941103e-01,7.12941103e-01,6.91377496e-02,2.76550998e-01,1.89977264e-04,2.27972716e-03,2.13234221e-06,2.77204487e-05,4.99391912e-10,6.49209485e-09,5.71013313e-05,7.99418639e-04,2.19852445e-07,3.29778667e-06,1.53589516e-16,2.15025322e-15,1.20708394e-10,1.81062591e-09,3.62073925e-04,5.79318280e-03,1.37913593e-07,2.34453108e-06,7.10207686e-07,1.27837383e-05,1.19890293e-11,2.03813498e-10,5.47901075e-15,9.86221935e-14,8.96864711e-21,1.61435648e-19,7.17611355e-05,1.43522271e-03
