time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne20,X_ne20
3.34048498e-09,1.99999998e-01,1.49999995e+04,3.70013853e-03,7.12941122e-01,7.12941122e-01,6.91377311e-02,2.76550925e-01,1.89972767e-04,2.27967321e-03,2.13235729e-06,2.77206447e-05,6.54984609e-11,8.51479991e-10,5.71014188e-05,7.99419863e-04,2.11267328e-07,3.16900992e-06,2.64208879e-18,3.69892431e-17,1.58318770e-11,2.37478155e-10,3.62073934e-04,5.79318295e-03,1.37915977e-07,2.34457160e-06,7.23800971e-07,1.30284175e-05,1.57245635e-12,2.67317579e-11,7.18631425e-16,1.29353656e-14,7.17611355e-05,1.43522271e-03
3.55941352e-09,1.99999998e-01,1.49999995e+04,3.70168326e-03,7.12941121e-01,7.12941121e-01,6.91377313e-02,2.76550925e-01,1.89972811e-04,2.27967373e-03,2.13235714e-06,2.77206428e-05,6.97911033e-11,9.07284343e-10,5.71014179e-05,7.99419851e-04,2.11354493e-07,3.17031740e-06,2.99975152e-18,4.19965213e-17,1.68694655e-11,2.53041983e-10,3.62073934e-04,5.79318295e-03,1.37915953e-07,2.34457120e-06,7.23665220e-07,1.30259740e-05,1.67551191e-12,2.84837024e-11,7.65728887e-16,1.37831200e-14,7.17611355e-05,1.43522271e-03
3.79269019e-09,1.99999997e-01,1.49999994e+04,3.70332835e-03,7.12941121e-01,7.12941121e-01,6.91377315e-02,2.76550926e-01,1.89972857e-04,2.27967429e-03,2.13235698e-06,2.77206407e-05,7.43650777e-11,9.66746010e-10,5.71014170e-05,7.99419838e-04,2.11447322e-07,3.17170982e-06,3.40583149e-18,4.76816409e-17,1.79750554e-11,2.69625832e-10,3.62073934e-04,5.79318295e-03,1.37915928e-07,2.34457077e-06,7.23520601e-07,1.30233708e-05,1.78532152e-12,3.03504658e-11,8.15912997e-16,1.46864339e-14,7.17611355e-05,1.43522271e-03
4.04125533e-09,1.99999997e-01,1.49999994e+04,3.70508028e-03,7.12941121e-01,7.12941121e-01,6.91377317e-02,2.76550927e-01,1.89972907e-04,2.27967488e-03,2.13235681e-06,2.77206385e-05,7.92388221e-11,1.03010469e-09,5.71014160e-05,7.99419824e-04,2.11546177e-07,3.17319266e-06,3.86688302e-18,5.41363623e-17,1.91531034e-11,2.87296552e-10,3.62073934e-04,5.79318294e-03,1.37915901e-07,2.34457032e-06,7.23366536e-07,1.30205977e-05,1.90232782e-12,3.23395729e-11,8.69386045e-16,1.56489488e-14,7.17611355e-05,1.43522271e-03
4.30611093e-09,1.99999997e-01,1.49999994e+04,3.70694591e-03,7.12941121e-01,7.12941121e-01,6.91377319e-02,2.76550928e-01,1.89972959e-04,2.27967551e-03,2.13235663e-06,2.77206362e-05,8.44319832e-11,1.09761578e-09,5.71014149e-05,7.99419809e-04,2.11651448e-07,3.17477172e-06,4.39034767e-18,6.14648674e-17,2.04083583e-11,3.06125374e-10,3.62073934e-04,5.79318294e-03,1.37915873e-07,2.34456983e-06,7.23202410e-07,1.30176434e-05,2.02700247e-12,3.44590421e-11,9.26363578e-16,1.66745444e-14,7.17611355e-05,1.43522271e-03
4.58832461e-09,1.99999997e-01,1.49999993e+04,3.70893253e-03,7.12941121e-01,7.12941121e-01,6.91377322e-02,2.76550929e-01,1.89973015e-04,2.27967619e-03,2.13235644e-06,2.77206337e-05,8.99654948e-11,1.16955143e-09,5.71014138e-05,7.99419794e-04,2.11763546e-07,3.17645319e-06,4.98467439e-18,6.97854415e-17,2.17458798e-11,3.26188198e-10,3.62073934e-04,5.79318294e-03,1.37915842e-07,2.34456932e-06,7.23027568e-07,1.30144962e-05,2.15984805e-12,3.67174169e-11,9.87075268e-16,1.77673548e-14,7.17611355e-05,1.43522271e-03
4.88903400e-09,1.99999997e-01,1.49999993e+04,3.71104792e-03,7.12941120e-01,7.12941120e-01,6.91377324e-02,2.76550930e-01,1.89973075e-04,2.27967691e-03,2.13235623e-06,2.77206310e-05,9.58616631e-11,1.24620162e-09,5.71014126e-05,7.99419777e-04,2.11882908e-07,3.17824361e-06,5.65945588e-18,7.92323823e-17,2.31710598e-11,3.47565897e-10,3.62073934e-04,5.79318294e-03,1.37915810e-07,2.34456877e-06,7.22841314e-07,1.30111437e-05,2.30140005e-12,3.91238009e-11,1.05176584e-15,1.89317851e-14,7.17611355e-05,1.43522271e-03
5.20945127e-09,1.99999997e-01,1.49999992e+04,3.71330031e-03,7.12941120e-01,7.12941120e-01,6.91377327e-02,2.76550931e-01,1.89973139e-04,2.27967767e-03,2.13235601e-06,2.77206282e-05,1.02144256e-10,1.32787533e-09,5.71014114e-05,7.99419759e-04,2.12009999e-07,3.18014999e-06,6.42558340e-18,8.99581677e-17,2.46896431e-11,3.70344646e-10,3.62073933e-04,5.79318294e-03,1.37915775e-07,2.34456818e-06,7.22642906e-07,1.30075723e-05,2.45222908e-12,4.16878943e-11,1.12069606e-15,2.01725290e-14,7.17611355e-05,1.43522271e-03
5.55086803e-09,1.99999996e-01,1.49999992e+04,3.71569846e-03,7.12941120e-01,7.12941120e-01,6.91377330e-02,2.76550932e-01,1.89973207e-04,2.27967849e-03,2.13235578e-06,2.77206252e-05,1.08838600e-10,1.41490180e-09,5.71014100e-05,7.99419740e-04,2.12145314e-07,3.18217971e-06,7.29542260e-18,1.02135916e-16,2.63077511e-11,3.94616267e-10,3.62073933e-04,5.79318293e-03,1.37915739e-07,2.34456756e-06,7.22431555e-07,1.30037680e-05,2.61294313e-12,4.44200332e-11,1.19414377e-15,2.14945878e-14,7.17611355e-05,1.43522271e-03
5.91466054e-09,1.99999996e-01,1.49999991e+04,3.71825168e-03,7.12941119e-01,7.12941119e-01,6.91377333e-02,2.76550933e-01,1.89973280e-04,2.27967936e-03,2.13235553e-06,2.77206219e-05,1.15971679e-10,1.50763183e-09,5.71014086e-05,7.99419720e-04,2.12289377e-07,3.18434065e-06,8.28301307e-18,1.15962183e-16,2.80319066e-11,4.20478599e-10,3.62073933e-04,5.79318293e-03,1.37915699e-07,2.34456689e-06,7.22206420e-07,1.29997156e-05,2.78419004e-12,4.73312307e-11,1.27240504e-15,2.29032907e-14,7.17611355e-05,1.43522271e-03
