time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne20,X_ne20
1.68561491e-05,9.12800020e-02,2.21099997e+04,3.69756971e-03,7.11584055e-01,7.11584055e-01,6.90061302e-02,2.76024521e-01,1.89611247e-04,2.27533497e-03,2.12828083e-06,2.76676508e-05,5.50629585e-10,7.15818461e-09,5.69927570e-05,7.97898598e-04,2.10730759e-07,3.16096139e-06,8.68707998e-17,1.21619120e-15,3.93284074e-12,5.89926112e-11,3.61384733e-04,5.78215573e-03,1.37653527e-07,2.34010996e-06,7.21980903e-07,1.29956563e-05,4.40894352e-12,7.49520398e-11,2.14689208e-15,3.86440574e-14,7.16245400e-05,1.43249080e-03
1.78629729e-05,9.12800021e-02,2.21099997e+04,3.69882105e-03,7.11584055e-01,7.11584055e-01,6.90061305e-02,2.76024522e-01,1.89611292e-04,2.27533551e-03,2.12827965e-06,2.76676354e-05,5.83518952e-10,7.58574637e-09,5.69927580e-05,7.97898612e-04,2.10801845e-07,3.16202768e-06,9.75583851e-17,1.36581739e-15,4.16775076e-12,6.25162615e-11,3.61384733e-04,5.78215573e-03,1.37653510e-07,2.34010967e-06,7.21831085e-07,1.29929595e-05,4.67229128e-12,7.94289517e-11,2.27512602e-15,4.09522683e-14,7.16245400e-05,1.43249080e-03
1.89299346e-05,9.12800022e-02,2.21099997e+04,3.70014603e-03,7.11584054e-01,7.11584054e-01,6.90061307e-02,2.76024523e-01,1.89611340e-04,2.27533608e-03,2.12827839e-06,2.76676191e-05,6.18372820e-10,8.03884666e-09,5.69927590e-05,7.97898626e-04,2.10877114e-07,3.16315671e-06,1.09560849e-16,1.53385188e-15,4.41669205e-12,6.62503807e-11,3.61384733e-04,5.78215572e-03,1.37653491e-07,2.34010935e-06,7.21672352e-07,1.29901023e-05,4.95136889e-12,8.41732712e-11,2.41101934e-15,4.33983481e-14,7.16245400e-05,1.43249080e-03
2.00606262e-05,9.12800024e-02,2.21099997e+04,3.70154893e-03,7.11584054e-01,7.11584054e-01,6.90061310e-02,2.76024524e-01,1.89611390e-04,2.27533668e-03,2.12827706e-06,2.76676018e-05,6.55308531e-10,8.51901090e-09,5.69927601e-05,7.97898642e-04,2.10956809e-07,3.16435214e-06,1.23039958e-16,1.72255942e-15,4.68050269e-12,7.02075404e-11,3.61384732e-04,5.78215572e-03,1.37653472e-07,2.34010902e-06,7.21504176e-07,1.29870752e-05,5.24711592e-12,8.92009706e-11,2.55502952e-15,4.59905313e-14,7.16245400e-05,1.43249080e-03
2.12588545e-05,9.12800025e-02,2.21099997e+04,3.70303424e-03,7.11584054e-01,7.11584054e-01,6.90061312e-02,2.76024525e-01,1.89611444e-04,2.27533733e-03,2.12827565e-06,2.76675835e-05,6.94450435e-10,9.02785566e-09,5.69927613e-05,7.97898658e-04,2.11041186e-07,3.16561779e-06,1.38177384e-16,1.93448337e-15,4.96007084e-12,7.44010626e-11,3.61384732e-04,5.78215571e-03,1.37653451e-07,2.34010867e-06,7.21325997e-07,1.29838680e-05,5.56052801e-12,9.45289762e-11,2.70764137e-15,4.87375447e-14,7.16245400e-05,1.43249080e-03
2.25286534e-05,9.12800027e-02,2.21099997e+04,3.70460672e-03,7.11584053e-01,7.11584053e-01,6.90061315e-02,2.76024526e-01,1.89611501e-04,2.27533801e-03,2.12827416e-06,2.76675640e-05,7.35930311e-10,9.56709405e-09,5.69927625e-05,7.97898675e-04,2.11130515e-07,3.16695772e-06,1.55177145e-16,2.17248003e-15,5.25633771e-12,7.88450656e-11,3.61384732e-04,5.78215571e-03,1.37653430e-07,2.34010830e-06,7.21137224e-07,1.29804700e-05,5.89266033e-12,1.00175226e-10,2.86936867e-15,5.16486360e-14,7.16245400e-05,1.43249080e-03
2.38742979e-05,9.12800028e-02,2.21099996e+04,3.70627139e-03,7.11584053e-01,7.11584053e-01,6.90061318e-02,2.76024527e-01,1.89611561e-04,2.27533873e-03,2.12827257e-06,2.76675435e-05,7.79887808e-10,1.01385415e-08,5.69927638e-05,7.97898693e-04,2.11225080e-07,3.16837619e-06,1.74268363e-16,2.43975709e-15,5.57030071e-12,8.35545107e-11,3.61384732e-04,5.78215571e-03,1.37653407e-07,2.34010791e-06,7.20937229e-07,1.29768701e-05,6.24463102e-12,1.06158727e-10,3.04075586e-15,5.47336055e-14,7.16245400e-05,1.43249080e-03
2.53003181e-05,9.12800030e-02,2.21099996e+04,3.70803354e-03,7.11584053e-01,7.11584053e-01,6.90061322e-02,2.76024529e-01,1.89611625e-04,2.27533950e-03,2.12827090e-06,2.76675216e-05,8.26470916e-10,1.07441219e-08,5.69927651e-05,7.97898712e-04,2.11325182e-07,3.16987773e-06,1.95708348e-16,2.73991687e-15,5.90301684e-12,8.85452527e-11,3.61384731e-04,5.78215570e-03,1.37653382e-07,2.34010750e-06,7.20725349e-07,1.29730563e-05,6.61762505e-12,1.12499626e-10,3.22237992e-15,5.80028386e-14,7.16245400e-05,1.43249080e-03
2.68115151e-05,9.12800032e-02,2.21099996e+04,3.70989876e-03,7.11584052e-01,7.11584052e-01,6.90061325e-02,2.76024530e-01,1.89611693e-04,2.27534031e-03,2.12826912e-06,2.76674985e-05,8.75836467e-10,1.13858741e-08,5.69927666e-05,7.97898732e-04,2.11431139e-07,3.17146708e-06,2.19786064e-16,3.07700490e-15,6.25560624e-12,9.38340936e-11,3.61384731e-04,5.78215569e-03,1.37653356e-07,2.34010706e-06,7.20500882e-07,1.29690159e-05,7.01289815e-12,1.19219269e-10,3.41485228e-15,6.14673411e-14,7.16245400e-05,1.43249080e-03
2.84129764e-05,9.12800034e-02,2.21099996e+04,3.71187294e-03,7.11584052e-01,7.11584052e-01,6.90061329e-02,2.76024531e-01,1.89611765e-04,2.27534118e-03,2.12826723e-06,2.76674740e-05,9.28150658e-10,1.20659585e-08,5.69927681e-05,7.97898754e-04,2.11543284e-07,3.17314927e-06,2.46826029e-16,3.45556440e-15,6.62925594e-12,9.94388392e-11,3.61384731e-04,5.78215569e-03,1.37653329e-07,2.34010659e-06,7.20263083e-07,1.29647355e-05,7.43178105e-12,1.26340278e-10,3.61882090e-15,6.51387762e-14,7.16245400e-05,1.43249080e-03
3.01100935e-05,9.12800036e-02,2.21099995e+04,3.71396227e-03,7.11584051e-01,7.11584051e-01,6.90061332e-02,2.76024533e-01,1.89611841e-04,2.27534209e-03,2.12826523e-06,2.76674481e-05,9.83589614e-10,1.27866650e-08,5.69927698e-05,7.97898777e-04,2.11661972e-07,3.17492957e-06,2.77192684e-16,3.88069757e-15,7.02522389e-12,1.05378358e-10,3.61384730e-04,5.78215568e-03,1.37653300e-07,2.34010609e-06,7.20011165e-07,1.29602010e-05,7.87568398e-12,1.33886628e-10,3.83497242e-15,6.90295036e-14,7.16245400e-05,1.43249080e-03
