time,t9,rho,b10,b11,b12,b13,b14,b8,be10,be11,be12,be7,be9,c10,c11,c12,c13,c14,c15,c16,c9,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,h1,h2,h3,he3,he4,he6,li6,li7,li8,li9,n,n11,n12,n13,n14,n15,n16,n17,n18,ne16,ne17,ne18,ne19,ne20,ne21,ne22,ne23,ne24,ne25,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21
1.68561491e-05,9.12800020e-02,2.21099997e+04,4.99789120e-39,5.56315518e-35,8.72907633e-58,3.06977778e-81,2.36332585e-107,7.39548352e-17,3.36593823e-60,1.24586295e-84,3.36233400e-108,3.51042083e-12,9.40825005e-36,1.45476875e-58,6.21250738e-26,1.89972857e-04,2.13233965e-06,1.40750852e-25,2.08408991e-49,2.97810969e-74,1.09118480e-22,0.00000000e+00,1.88933399e-103,8.07166728e-47,4.42577618e-12,2.15508856e-15,1.46788507e-11,1.39559944e-32,2.00273708e-53,5.73985632e-79,1.81653119e-104,7.12941120e-01,7.62245926e-19,7.77804189e-24,1.14787458e-05,6.91377322e-02,1.92721608e-104,2.73524888e-28,7.03008528e-27,2.09107646e-51,3.06906589e-74,2.37268729e-26,0.00000000e+00,2.73983480e-33,5.52731806e-10,5.71014482e-05,2.11134920e-07,4.26243549e-31,3.08876462e-55,2.41817677e-80,0.00000000e+00,0.00000000e+00,5.43172832e-22,4.35935070e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,3.59727182e-28,1.58367563e-51,2.10046998e-75,0.00000000e+00,1.39996923e-39,8.73687635e-17,3.94785573e-12,3.62073932e-04,1.37916046e-07,7.23353003e-07,2.14723046e-30,3.31625439e-52,1.08878002e-76
1.78629729e-05,9.12800021e-02,2.21099997e+04,5.01813219e-39,6.32850730e-35,1.03712635e-57,3.89136426e-81,3.19097049e-107,8.30532773e-17,3.36552397e-60,1.24495007e-84,3.59704757e-108,3.72009464e-12,9.40911529e-36,1.94423599e-58,6.97683063e-26,1.89972902e-04,2.13233846e-06,1.49158681e-25,2.33602776e-49,3.53921285e-74,1.29862316e-22,0.00000000e+00,2.22747333e-103,8.84748534e-47,4.69012937e-12,2.28381208e-15,1.55540070e-11,1.56718835e-32,2.38334521e-53,7.23872449e-79,2.42768534e-104,7.12941120e-01,7.82664044e-19,7.77847881e-24,1.14787444e-05,6.91377324e-02,2.04234436e-104,2.80889337e-28,7.40984930e-27,2.20458623e-51,3.43891957e-74,2.37268619e-26,0.00000000e+00,3.26064651e-33,5.85746740e-10,5.71014492e-05,2.11206275e-07,4.51702034e-31,3.46878874e-55,2.87792014e-80,0.00000000e+00,0.00000000e+00,6.09998451e-22,4.89567374e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,3.81215746e-28,1.77853078e-51,2.49982052e-75,0.00000000e+00,1.76557307e-39,9.81176127e-17,4.18366260e-12,3.62073931e-04,1.37916029e-07,7.23202614e-07,2.27522480e-30,3.72396780e-52,1.29569542e-76
1.89299346e-05,9.12800022e-02,2.21099997e+04,5.03512643e-39,7.19428865e-35,1.23016689e-57,4.92490048e-81,4.30185165e-107,9.32710665e-17,3.36816403e-60,1.24525427e-84,3.84595520e-108,3.94229173e-12,9.40713377e-36,2.59839932e-58,7.83518893e-26,1.89972950e-04,2.13233720e-06,1.58068705e-25,2.61812497e-49,4.20567308e-74,1.54549628e-22,0.00000000e+00,2.62482198e-103,9.68789154e-47,4.97027246e-12,2.42022421e-15,1.64812382e-11,1.75986664e-32,2.83627669e-53,9.12898134e-79,3.24446854e-104,7.12941120e-01,8.02555075e-19,7.77881464e-24,1.14787430e-05,6.91377326e-02,2.16434910e-104,2.88063717e-28,7.81183330e-27,2.32473179e-51,3.85219377e-74,2.37268499e-26,0.00000000e+00,3.88045559e-33,6.20733675e-10,5.71014502e-05,2.11281830e-07,4.78680672e-31,3.89556509e-55,3.42506623e-80,0.00000000e+00,0.00000000e+00,6.85045505e-22,5.49797957e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,4.03987818e-28,1.99735962e-51,2.97509496e-75,0.00000000e+00,2.22665306e-39,1.10188877e-16,4.43355430e-12,3.62073931e-04,1.37916010e-07,7.23043276e-07,2.41083079e-30,4.18178317e-52,1.54192622e-76
2.00606262e-05,9.12800024e-02,2.21099997e+04,5.04912605e-39,8.17323144e-35,1.45668560e-57,6.22287982e-81,5.79048517e-107,1.04745911e-16,3.36941743e-60,1.24654483e-84,4.10949171e-108,4.17776006e-12,9.40668761e-36,3.47267451e-58,8.79915156e-26,1.89973001e-04,2.13233586e-06,1.67510920e-25,2.93393693e-49,4.99718073e-74,1.83930081e-22,0.00000000e+00,3.09144083e-103,1.05970039e-46,5.26714860e-12,2.56478420e-15,1.74636301e-11,1.97622493e-32,3.37527202e-53,1.15128192e-78,4.33606418e-104,7.12941119e-01,8.21835476e-19,7.77909321e-24,1.14787415e-05,6.91377329e-02,2.29364099e-104,2.95017828e-28,8.23745843e-27,2.45193867e-51,4.31405059e-74,2.37268369e-26,0.00000000e+00,4.61807884e-33,6.57810401e-10,5.71014513e-05,2.11361827e-07,5.07270194e-31,4.37484491e-55,4.07623066e-80,0.00000000e+00,0.00000000e+00,7.69325461e-22,6.17438590e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,4.28120062e-28,2.24311162e-51,3.54072746e-75,0.00000000e+00,2.80814118e-39,1.23745252e-16,4.69837213e-12,3.62073931e-04,1.37915991e-07,7.22874459e-07,2.55449897e-30,4.69585308e-52,1.83494080e-76
2.12588545e-05,9.12800025e-02,2.21099997e+04,5.06054612e-39,9.27965693e-35,1.72202052e-57,7.85022609e-81,7.78209304e-107,1.17632459e-16,3.36954026e-60,1.24847007e-84,4.38852888e-108,4.42729224e-12,9.40674635e-36,4.64112290e-58,9.88171122e-26,1.89973055e-04,2.13233445e-06,1.77517112e-25,3.28742796e-49,5.93708254e-74,2.18895847e-22,0.00000000e+00,3.63903047e-103,1.15790764e-46,5.58175725e-12,2.71797870e-15,1.85044503e-11,2.21917178e-32,4.01668163e-53,1.45191107e-78,5.79493132e-104,7.12941119e-01,8.40424719e-19,7.77937129e-24,1.14787399e-05,6.91377332e-02,2.43065527e-104,3.01722650e-28,8.68822852e-27,2.58665707e-51,4.83030492e-74,2.37268228e-26,0.00000000e+00,5.49590939e-33,6.97101743e-10,5.71014525e-05,2.11446523e-07,5.37566736e-31,4.91308682e-55,4.85118764e-80,0.00000000e+00,0.00000000e+00,8.63974227e-22,6.93400917e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,4.53693719e-28,2.51909914e-51,4.21389626e-75,0.00000000e+00,3.54147962e-39,1.38969449e-16,4.97900763e-12,3.62073931e-04,1.37915970e-07,7.22695602e-07,2.70670627e-30,5.27308483e-52,2.18362576e-76
2.25286534e-05,9.12800027e-02,2.21099997e+04,5.06974923e-39,1.05296691e-34,2.03228130e-57,9.88709471e-81,1.04423062e-106,1.32104385e-16,3.36795540e-60,1.24971067e-84,4.68403708e-108,4.69172822e-12,9.40763136e-36,6.20272403e-58,1.10974591e-25,1.89973112e-04,2.13233295e-06,1.88120965e-25,3.68301655e-49,7.05305455e-74,2.60508704e-22,0.00000000e+00,4.28118336e-103,1.26384960e-46,5.91515760e-12,2.88032344e-15,1.96071579e-11,2.49197273e-32,4.77996140e-53,1.83103724e-78,7.74463413e-104,7.12941119e-01,8.58246775e-19,7.77959507e-24,1.14787382e-05,6.91377335e-02,2.57585313e-104,3.08150759e-28,9.16573673e-27,2.72936423e-51,5.40748926e-74,2.37268075e-26,0.00000000e+00,6.54059638e-33,7.38739984e-10,5.71014537e-05,2.11536189e-07,5.69672169e-31,5.51754385e-55,5.77347032e-80,0.00000000e+00,0.00000000e+00,9.70267456e-22,7.78708737e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,4.80794882e-28,2.82904203e-51,5.01504533e-75,0.00000000e+00,4.46632043e-39,1.56066657e-16,5.27640560e-12,3.62073930e-04,1.37915948e-07,7.22506110e-07,2.86795756e-30,5.92123295e-52,2.59855517e-76
2.38742979e-05,9.12800028e-02,2.21099996e+04,5.07712421e-39,1.19413778e-34,2.39444756e-57,1.24322878e-80,1.39898120e-106,1.48356729e-16,3.36775909e-60,1.24931267e-84,4.99761505e-108,4.97195810e-12,9.40731366e-36,8.28975977e-58,1.24627818e-25,1.89973172e-04,2.13233136e-06,1.99358179e-25,4.12562509e-49,8.37789740e-74,3.10032269e-22,0.00000000e+00,5.03367116e-103,1.37797863e-46,6.26847206e-12,3.05236496e-15,2.07754150e-11,2.79829396e-32,5.68826231e-53,2.30915481e-78,1.03503062e-103,7.12941118e-01,8.75231410e-19,7.77967692e-24,1.14787364e-05,6.91377338e-02,2.72972336e-104,3.14276831e-28,9.67166640e-27,2.88056426e-51,6.05296922e-74,2.37267908e-26,0.00000000e+00,7.78385374e-33,7.82865304e-10,5.71014550e-05,2.11631112e-07,6.03694431e-31,6.19636115e-55,6.87108537e-80,0.00000000e+00,0.00000000e+00,1.08963774e-21,8.74511806e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,5.09514788e-28,3.17711778e-51,5.96850523e-75,0.00000000e+00,5.63266918e-39,1.75267311e-16,5.59156726e-12,3.62073930e-04,1.37915925e-07,7.22305353e-07,3.03878722e-30,6.64900287e-52,3.09231083e-76
2.53003181e-05,9.12800030e-02,2.21099996e+04,5.08295216e-39,1.35351510e-34,2.81648012e-57,1.56073813e-80,1.87128873e-106,1.66608526e-16,3.36858757e-60,1.24828277e-84,5.33030317e-108,5.26892514e-12,9.40689514e-36,1.10790187e-57,1.39960816e-25,1.89973236e-04,2.13232967e-06,2.11266580e-25,4.62073482e-49,9.95047574e-74,3.68970376e-22,0.00000000e+00,5.91477244e-103,1.50076082e-46,6.64289013e-12,3.23468243e-15,2.20130981e-11,3.14225144e-32,6.76913199e-53,2.91210831e-78,1.38326347e-103,7.12941118e-01,8.91315697e-19,7.77965712e-24,1.14787344e-05,6.91377341e-02,2.89278391e-104,3.20078159e-28,1.02077515e-26,3.04077561e-51,6.77498507e-74,2.37267729e-26,0.00000000e+00,9.26342275e-33,8.29626260e-10,5.71014564e-05,2.11731593e-07,6.39747892e-31,6.95868567e-55,8.17736332e-80,0.00000000e+00,0.00000000e+00,1.22369393e-21,9.82101329e-24,7.17611355e-05,1.71411363e-07,5.27977883e-06,5.39950121e-28,3.56801783e-51,7.10323199e-75,0.00000000e+00,7.10358797e-39,1.96830194e-16,5.92555366e-12,3.62073930e-04,1.37915901e-07,7.22092666e-07,3.21976082e-30,7.46616738e-52,3.67986330e-76
2.68115151e-05,9.12800032e-02,2.21099996e+04,5.08750559e-39,1.53338919e-34,3.30744537e-57,1.95617246e-80,2.49909182e-106,1.87105757e-16,3.36899203e-60,1.24822053e-84,5.68267661e-108,5.58362892e-12,9.40699872e-36,1.48067697e-57,1.57180254e-25,1.89973304e-04,2.13232789e-06,2.23886259e-25,5.17444614e-49,1.18168276e-73,4.39112732e-22,0.00000000e+00,6.94564519e-103,1.63267648e-46,7.03967232e-12,3.42788961e-15,2.33243106e-11,3.52846602e-32,8.05534930e-53,3.67248881e-78,1.84865474e-103,7.12941118e-01,9.06445417e-19,7.77962508e-24,1.14787324e-05,6.91377344e-02,3.06558366e-104,3.25535191e-28,1.07758027e-26,3.21053928e-51,7.58276548e-74,2.37267535e-26,0.00000000e+00,1.10242174e-32,8.79180281e-10,5.71014578e-05,2.11837950e-07,6.77953736e-31,7.81478934e-55,9.73197047e-80,0.00000000e+00,0.00000000e+00,1.37424280e-21,1.10292737e-23,7.17611355e-05,1.71411363e-07,5.27977883e-06,5.72203343e-28,4.00701079e-51,8.45368638e-75,0.00000000e+00,8.95860429e-39,2.21045929e-16,6.27948919e-12,3.62073929e-04,1.37915875e-07,7.21867344e-07,3.41147694e-30,8.38369721e-52,4.37902519e-76
2.84129764e-05,9.12800034e-02,2.21099996e+04,5.09105779e-39,1.73633504e-34,3.87765394e-57,2.44784869e-80,3.33223764e-106,2.10124662e-16,3.36865380e-60,1.24913099e-84,6.05570396e-108,5.91712872e-12,9.40718391e-36,1.97887725e-57,1.76518225e-25,1.89973377e-04,2.13232600e-06,2.37259697e-25,5.79354500e-49,1.40314733e-73,5.22589264e-22,0.00000000e+00,8.15074963e-103,1.77422103e-46,7.46015445e-12,3.63263694e-15,2.47133957e-11,3.96212521e-32,9.58591738e-53,4.63139487e-78,2.47061858e-103,7.12941117e-01,9.20576336e-19,7.77964526e-24,1.14787303e-05,6.91377348e-02,3.24870429e-104,3.30631974e-28,1.13777378e-26,3.39042818e-51,8.48666070e-74,2.37267326e-26,0.00000000e+00,1.31196872e-32,9.31694200e-10,5.71014594e-05,2.11950519e-07,7.18440364e-31,8.77620743e-55,1.15821132e-79,0.00000000e+00,0.00000000e+00,1.54331341e-21,1.23861838e-23,7.17611355e-05,1.71411363e-07,5.27977883e-06,6.06383032e-28,4.50001344e-51,1.00608805e-74,0.00000000e+00,1.12980095e-38,2.48240894e-16,6.65456543e-12,3.62073929e-04,1.37915847e-07,7.21628640e-07,3.61456900e-30,9.41390757e-52,5.21099043e-76
