time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne18,X_ne18,Y_ne20,X_ne20
6.95192796e-03,4.17951571e-01,3.99860986e+03,3.11156971e-01,7.12322068e-01,7.12322068e-01,6.91393831e-02,2.76557532e-01,8.54106609e-11,1.02492793e-09,1.36122821e-17,1.76959667e-16,2.90706021e-10,3.77917828e-09,2.07923037e-10,2.91092252e-09,1.95392723e-15,2.93089084e-14,1.90889848e-04,2.67245787e-03,5.93967716e-05,8.90951573e-04,1.90643534e-04,3.05029654e-03,1.46836075e-11,2.49621327e-10,1.01722752e-22,1.83100954e-21,1.62974621e-04,2.77056856e-03,6.39450845e-12,1.15101152e-10,8.45000351e-06,1.52100063e-04,7.17611609e-05,1.43522322e-03
7.49353460e-03,4.17947798e-01,3.99850157e+03,3.11177444e-01,7.12311727e-01,7.12311727e-01,6.91393125e-02,2.76557250e-01,9.60682188e-11,1.15281863e-09,1.53681603e-17,1.99786084e-16,3.27983563e-10,4.26378631e-09,2.12970321e-10,2.98158449e-09,1.95425401e-15,2.93138101e-14,1.90889533e-04,2.67245346e-03,5.94005833e-05,8.91008749e-04,1.81433212e-04,2.90293139e-03,1.54091032e-11,2.61954755e-10,1.16096748e-22,2.08974146e-21,1.70989003e-04,2.90681305e-03,7.29752416e-12,1.31355435e-10,9.64294844e-06,1.73573072e-04,7.17611642e-05,1.43522328e-03
8.07733640e-03,4.17943732e-01,3.99838486e+03,3.11201233e-01,7.12301018e-01,7.12301018e-01,6.91392397e-02,2.76556959e-01,1.08162270e-10,1.29794724e-09,1.73715012e-17,2.25829516e-16,3.70473183e-10,4.81615138e-09,2.18052647e-10,3.05273706e-09,1.95461691e-15,2.93192537e-14,1.90889292e-04,2.67245009e-03,5.94050509e-05,8.91075764e-04,1.72018223e-04,2.75229156e-03,1.61394489e-11,2.74370632e-10,1.32336597e-22,2.38205875e-21,1.79052984e-04,3.04390072e-03,8.31763253e-12,1.49717386e-10,1.09903692e-05,1.97826646e-04,7.17611680e-05,1.43522336e-03
8.70662068e-03,4.17939348e-01,3.99825905e+03,3.11228928e-01,7.12289959e-01,7.12289959e-01,6.91391652e-02,2.76556661e-01,1.21799461e-10,1.46159353e-09,1.96417156e-17,2.55342303e-16,4.18578362e-10,5.44151870e-09,2.23137640e-10,3.12392696e-09,1.95502096e-15,2.93253145e-14,1.90889154e-04,2.67244816e-03,5.94102963e-05,8.91154444e-04,1.62433497e-04,2.59893595e-03,1.68699872e-11,2.86789783e-10,1.50648204e-22,2.71166767e-21,1.87114567e-04,3.18094764e-03,9.46772653e-12,1.70419078e-10,1.25092164e-05,2.25165894e-04,7.17611722e-05,1.43522344e-03
9.38493086e-03,4.17934623e-01,3.99812345e+03,3.11261233e-01,7.12278572e-01,7.12278572e-01,6.91390895e-02,2.76556358e-01,1.37074280e-10,1.64489136e-09,2.21962160e-17,2.88550808e-16,4.72659547e-10,6.14457411e-09,2.28188965e-10,3.19464551e-09,1.95547202e-15,2.93320803e-14,1.90889152e-04,2.67244813e-03,5.94164640e-05,8.91246960e-04,1.52719068e-04,2.44350509e-03,1.75954887e-11,2.99123308e-10,1.71252464e-22,3.08254436e-21,1.95115418e-04,3.31696211e-03,1.07616310e-11,1.93709359e-10,1.42176503e-05,2.55917705e-04,7.17611770e-05,1.43522354e-03
1.01160864e-02,4.17929531e-01,3.99797729e+03,3.11298979e-01,7.12266881e-01,7.12266881e-01,6.91390134e-02,2.76556053e-01,1.54063674e-10,1.84876409e-09,2.50494667e-17,3.25643067e-16,5.33014146e-10,6.92918390e-09,2.33166416e-10,3.26432982e-09,1.95597689e-15,2.93396534e-14,1.90889328e-04,2.67245060e-03,5.94237257e-05,8.91355886e-04,1.42919994e-04,2.28671990e-03,1.83101631e-11,3.11272772e-10,1.94384712e-22,3.49892481e-21,2.02990997e-04,3.45084696e-03,1.22140659e-11,2.19853187e-10,1.61349886e-05,2.90429795e-04,7.17611823e-05,1.43522365e-03
1.09042044e-02,4.17924041e-01,3.99781975e+03,3.11343152e-01,7.12254916e-01,7.12254916e-01,6.91389373e-02,2.76555749e-01,1.72821194e-10,2.07385433e-09,2.82119499e-17,3.66755349e-16,5.99854751e-10,7.79811176e-09,2.38026120e-10,3.33236567e-09,1.95654355e-15,2.93481533e-14,1.90889731e-04,2.67245623e-03,5.94322847e-05,8.91484270e-04,1.33086124e-04,2.12937798e-03,1.90076864e-11,3.23130669e-10,2.20293726e-22,3.96528707e-21,2.10670872e-04,3.58140483e-03,1.38405820e-11,2.49130477e-10,1.82816168e-05,3.29069102e-04,7.17611882e-05,1.43522376e-03
1.17537227e-02,4.17918124e-01,3.99764995e+03,3.11394917e-01,7.12242710e-01,7.12242710e-01,6.91388621e-02,2.76555449e-01,1.93370932e-10,2.32045118e-09,3.16890911e-17,4.11958184e-16,6.73286557e-10,8.75272524e-09,2.42720881e-10,3.39809233e-09,1.95718128e-15,2.93577192e-14,1.90890418e-04,2.67246585e-03,5.94423814e-05,8.91635721e-04,1.23271686e-04,1.97234698e-03,1.96812489e-11,3.34581231e-10,2.49240252e-22,4.48632454e-21,2.18079259e-04,3.70734741e-03,1.56574654e-11,2.81834378e-10,2.06788560e-05,3.72219409e-04,7.17611948e-05,1.43522390e-03
1.26694246e-02,4.17911746e-01,3.99746692e+03,3.11455651e-01,7.12230297e-01,7.12230297e-01,6.91387886e-02,2.76555154e-01,2.15701503e-10,2.58841803e-09,3.54801887e-17,4.61242454e-16,7.53284895e-10,9.79270363e-09,2.47200672e-10,3.46080941e-09,1.95790090e-15,2.93685136e-14,1.90891457e-04,2.67248039e-03,5.94542998e-05,8.91814497e-04,1.13534687e-04,1.81655498e-03,2.03236239e-11,3.45501606e-10,2.81494962e-22,5.06690932e-21,2.25135798e-04,3.82730856e-03,1.76816070e-11,3.18268926e-10,2.33487854e-05,4.20278138e-04,7.17612022e-05,1.43522404e-03
1.36564666e-02,4.17904871e-01,3.99726964e+03,3.11526980e-01,7.12217716e-01,7.12217716e-01,6.91387174e-02,2.76554870e-01,2.39760410e-10,2.87712492e-09,3.95774077e-17,5.14506300e-16,8.39674153e-10,1.09157640e-08,2.51413289e-10,3.51978605e-09,1.95871505e-15,2.93807257e-14,1.90892925e-04,2.67250095e-03,5.94683747e-05,8.92025620e-04,1.03936087e-04,1.66297739e-03,2.09272601e-11,3.55763421e-10,3.17335811e-22,5.71204459e-21,2.31756592e-04,3.93986207e-03,1.99303333e-11,3.58745999e-10,2.63140115e-05,4.73652208e-04,7.17612104e-05,1.43522421e-03
1.47204064e-02,4.17897460e-01,3.99705700e+03,3.11610822e-01,7.12205007e-01,7.12205007e-01,6.91386495e-02,2.76554598e-01,2.65449192e-10,3.18539031e-09,4.39649077e-17,5.71543800e-16,9.32109586e-10,1.21174246e-08,2.55305170e-10,3.57427238e-09,1.95963842e-15,2.93945763e-14,1.90894911e-04,2.67252875e-03,5.94849995e-05,8.92274993e-04,9.45387716e-05,1.51262035e-03,2.14843991e-11,3.65234785e-10,3.57044741e-22,6.42680534e-21,2.37855523e-04,4.04354388e-03,2.24211966e-11,4.03581539e-10,2.95973838e-05,5.32752909e-04,7.17612194e-05,1.43522439e-03
1.58672350e-02,4.17889473e-01,3.99682781e+03,3.11709430e-01,7.12192208e-01,7.12192208e-01,6.91385858e-02,2.76554343e-01,2.92619766e-10,3.51143719e-09,4.86181794e-17,6.32036333e-16,1.03006353e-09,1.33908258e-08,2.58822387e-10,3.62351341e-09,1.96068813e-15,2.94103219e-14,1.90897515e-04,2.67256520e-03,5.95046360e-05,8.92569541e-04,8.54062985e-05,1.36650078e-03,2.19872167e-11,3.73782684e-10,4.00903729e-22,7.21626712e-21,2.43345828e-04,4.13687907e-03,2.51717230e-11,4.53091014e-10,3.32216539e-05,5.97989770e-04,7.17612294e-05,1.43522459e-03
1.71034100e-02,4.17880863e-01,3.99658078e+03,3.11825451e-01,7.12179361e-01,7.12179361e-01,6.91385272e-02,2.76554109e-01,3.21072391e-10,3.85286870e-09,5.35036631e-17,6.95547621e-16,1.13281761e-09,1.47266289e-08,2.61911781e-10,3.66676494e-09,1.96188404e-15,2.94282606e-14,1.90900847e-04,2.67261186e-03,5.95278244e-05,8.92917366e-04,7.66014463e-05,1.22562314e-03,2.24279871e-11,3.81275780e-10,4.49190165e-22,8.08542297e-21,2.48141941e-04,4.21841300e-03,2.81991185e-11,5.07584134e-10,3.72090791e-05,6.69763424e-04,7.17612403e-05,1.43522481e-03
1.84358922e-02,4.17871583e-01,3.99631452e+03,3.11961987e-01,7.12166502e-01,7.12166502e-01,6.91384747e-02,2.76553899e-01,3.50555646e-10,4.20666775e-09,5.85787187e-17,7.61523343e-16,1.23946240e-09,1.61130112e-08,2.64522244e-10,3.70331142e-09,1.96324920e-15,2.94487380e-14,1.90905030e-04,2.67267042e-03,5.95551950e-05,8.93327925e-04,6.81846001e-05,1.09095360e-03,2.27992670e-11,3.87587539e-10,5.02171616e-22,9.03908909e-21,2.52161544e-04,4.28674624e-03,3.15199365e-11,5.67358857e-10,4.15809738e-05,7.48457528e-04,7.17612523e-05,1.43522505e-03
1.98721847e-02,4.17861580e-01,3.99602754e+03,3.12122659e-01,7.12153666e-01,7.12153666e-01,6.91384293e-02,2.76553717e-01,3.80768724e-10,4.56922468e-09,6.37920033e-17,8.29296043e-16,1.34890568e-09,1.75357738e-08,2.66606082e-10,3.73248515e-09,1.96481026e-15,2.94721539e-14,1.90910196e-04,2.67274274e-03,5.95874811e-05,8.93812216e-04,6.02120167e-05,9.63392267e-04,2.30940950e-11,3.92599615e-10,5.60100037e-22,1.00818007e-20,2.55327779e-04,4.34057225e-03,3.51497096e-11,6.32694773e-10,4.63572141e-05,8.34429854e-04,7.17612654e-05,1.43522531e-03
2.14203749e-02,4.17850798e-01,3.99571822e+03,3.12311685e-01,7.12140885e-01,7.12140885e-01,6.91383923e-02,2.76553569e-01,4.11366284e-10,4.93639541e-09,6.90842956e-17,8.98095843e-16,1.45989009e-09,1.89785712e-08,2.68120439e-10,3.75368615e-09,1.96659799e-15,2.94989699e-14,1.90916486e-04,2.67283080e-03,5.96255331e-05,8.94382997e-04,5.27340422e-05,8.43744675e-04,2.33061978e-11,3.96205363e-10,6.23205541e-22,1.12176997e-20,2.57571558e-04,4.37871648e-03,3.91025548e-11,7.03845987e-10,5.15557068e-05,9.28002723e-04,7.17612797e-05,1.43522559e-03
2.30891806e-02,4.17839176e-01,3.99538483e+03,3.12533966e-01,7.12128184e-01,7.12128184e-01,6.91383647e-02,2.76553459e-01,4.41965933e-10,5.30359120e-09,7.43897813e-17,9.67067157e-16,1.57102059e-09,2.04232677e-08,2.69028708e-10,3.76640191e-09,1.96864782e-15,2.95297173e-14,1.90924048e-04,2.67293668e-03,5.96703342e-05,8.95055012e-04,4.57933637e-05,7.32693820e-04,2.34301967e-11,3.98313344e-10,6.91689881e-22,1.24504179e-20,2.58833840e-04,4.40017528e-03,4.33907597e-11,7.81033675e-10,5.71918327e-05,1.02945299e-03,7.17612951e-05,1.43522590e-03
2.48879987e-02,4.17826650e-01,3.99502550e+03,3.12795169e-01,7.12115582e-01,7.12115582e-01,6.91383478e-02,2.76553391e-01,4.72158256e-10,5.66589908e-09,7.96377857e-17,1.03529121e-15,1.68080121e-09,2.18504157e-08,2.69301861e-10,3.77022605e-09,1.97100040e-15,2.95650060e-14,1.90933039e-04,2.67306255e-03,5.97230165e-05,8.95845247e-04,3.94233966e-05,6.30774346e-04,2.34618023e-11,3.98850639e-10,7.65719826e-22,1.37829569e-20,2.59067803e-04,4.40415265e-03,4.80243620e-11,8.64438515e-10,6.32778822e-05,1.13900188e-03,7.17613118e-05,1.43522624e-03
2.68269580e-02,4.17813147e-01,3.99463821e+03,3.13101832e-01,7.12103089e-01,7.12103089e-01,6.91383429e-02,2.76553372e-01,5.01519143e-10,6.01822972e-09,8.47549092e-17,1.10181382e-15,1.78768032e-09,2.32398442e-08,2.68919623e-10,3.76487473e-09,1.97370228e-15,2.96055342e-14,1.90943615e-04,2.67321061e-03,5.97848799e-05,8.96773198e-04,3.36469133e-05,5.38350612e-04,2.33979871e-11,3.97765780e-10,8.45420626e-22,1.52175713e-20,2.58240745e-04,4.39009266e-03,5.30107351e-11,9.54193232e-10,6.98224988e-05,1.25680498e-03,7.17613297e-05,1.43522659e-03
2.89169765e-02,4.17798594e-01,3.99422078e+03,3.13461462e-01,7.12090711e-01,7.12090711e-01,6.91383516e-02,2.76553406e-01,5.29623961e-10,6.35548753e-09,8.96674875e-17,1.16567734e-15,1.89010272e-09,2.45713354e-08,2.67871409e-10,3.75019973e-09,1.97680656e-15,2.96520983e-14,1.90955935e-04,2.67338309e-03,5.98574105e-05,8.97861158e-04,2.84750326e-05,4.55600521e-04,2.32371232e-11,3.95031094e-10,9.30869820e-22,1.67556568e-20,2.56335608e-04,4.35770533e-03,5.83541958e-11,1.05037552e-09,7.68301515e-05,1.38294273e-03,7.17613489e-05,1.43522698e-03
3.11698230e-02,4.17782907e-01,3.99377089e+03,3.13882649e-01,7.12078441e-01,7.12078441e-01,6.91383753e-02,2.76553501e-01,5.56062987e-10,6.67275584e-09,9.43042746e-17,1.22595557e-15,1.98656625e-09,2.58253612e-08,2.66156953e-10,3.72619734e-09,1.98037360e-15,2.97056039e-14,1.90970155e-04,2.67358217e-03,5.99423017e-05,8.99134525e-04,2.39066515e-05,3.82506424e-04,2.29790768e-11,3.90644306e-10,1.02209156e-21,1.83976480e-20,2.53352007e-04,4.30698412e-03,6.40556434e-11,1.15300158e-09,8.43006515e-05,1.51741173e-03,7.17613694e-05,1.43522739e-03
3.35981829e-02,4.17765998e-01,3.99328600e+03,3.14375178e-01,7.12066269e-01,7.12066269e-01,6.91384158e-02,2.76553663e-01,5.80457250e-10,6.96548700e-09,9.85992012e-17,1.28178962e-15,2.07567997e-09,2.69838396e-08,2.63786562e-10,3.69301187e-09,1.98447182e-15,2.97670773e-14,1.90986426e-04,2.67380997e-03,6.00414747e-05,9.00622120e-04,1.99284269e-05,3.18854830e-04,2.26252470e-11,3.84629198e-10,1.11905168e-21,2.01429303e-20,2.49306649e-04,4.23821304e-03,7.01122478e-11,1.26202046e-09,9.22287329e-05,1.66011719e-03,7.17613911e-05,1.43522782e-03
3.62157300e-02,4.17747773e-01,3.99276341e+03,3.14950150e-01,7.12054175e-01,7.12054175e-01,6.91384749e-02,2.76553900e-01,6.02473899e-10,7.22968679e-09,1.02494058e-16,1.33242275e-15,2.15622061e-09,2.80308680e-08,2.60780966e-10,3.65093353e-09,1.98917847e-15,2.98376771e-14,1.91004891e-04,2.67406848e-03,6.01571012e-05,9.02356518e-04,1.65153434e-05,2.64245495e-04,2.21785449e-11,3.77035263e-10,1.22165371e-21,2.19897667e-20,2.44233083e-04,4.15196240e-03,7.65171945e-11,1.37730950e-09,1.00603711e-04,1.81086679e-03,7.17614141e-05,1.43522828e-03
3.90372033e-02,4.17728129e-01,3.99220017e+03,3.15620099e-01,7.12042134e-01,7.12042134e-01,6.91385548e-02,2.76554219e-01,6.21840116e-10,7.46208139e-09,1.05940930e-16,1.37723209e-15,2.22718364e-09,2.89533873e-08,2.57170746e-10,3.60039044e-09,1.99458049e-15,2.99187073e-14,1.91025683e-04,2.67435956e-03,6.02916260e-05,9.04374390e-04,1.36318692e-05,2.18109908e-04,2.16433131e-11,3.67936322e-10,1.32973577e-21,2.39352438e-20,2.38180779e-04,4.04907324e-03,8.32594909e-11,1.49867084e-09,1.09409221e-04,1.96936597e-03,7.17614383e-05,1.43522877e-03
4.20784904e-02,4.17706956e-01,3.99159315e+03,3.16399119e-01,7.12030120e-01,7.12030120e-01,6.91386577e-02,2.76554631e-01,6.38354427e-10,7.66025313e-09,1.08904187e-16,1.41575443e-15,2.28782487e-09,2.97417233e-08,2.52995361e-10,3.54193506e-09,2.00077530e-15,3.00116295e-14,1.91048920e-04,2.67468488e-03,6.04477900e-05,9.06716849e-04,1.12336736e-05,1.79738777e-04,2.10251854e-11,3.57428152e-10,1.44306860e-21,2.59752348e-20,2.31213563e-04,3.93063058e-03,9.03238384e-11,1.62582909e-09,1.18623050e-04,2.13521490e-03,7.17614636e-05,1.43522927e-03
