time,t9,rho,eps_nuc_erg_g_s,F_c12_pg_n13,F_n13_pg_o14,F_n13_bd_c13,F_c13_pg_n14,F_n14_pg_o15,F_o14_bd_n14,F_o15_bd_n15,F_n15_pa_c12,F_n15_pg_o16,F_o16_pg_f17,F_o17_pa_n14,F_f17_bd_o17,F_f17_pg_ne18,F_ne18_bd_f18,F_f18_pa_o15,F_o17_pg_f18,tau_c12_pg_n13,tau_n13_pg_o14,tau_n13_bd_c13,tau_c13_pg_n14,tau_n14_pg_o15,tau_o14_bd_n14,tau_o15_bd_n15,tau_n15_pa_c12,tau_n15_pg_o16,tau_o16_pg_f17,tau_o17_pa_n14,tau_f17_bd_o17,tau_f17_pg_ne18,tau_ne18_bd_f18,tau_f18_pa_o15,tau_o17_pg_f18,tau_T9,tau_rho,Q_c12_pg_n13,Q_n13_pg_o14,Q_o14_bd_n14,Q_n14_pg_o15,Q_o15_bd_n15,Q_n15_pa_c12,steady_flow_dispersion_dex,fside_c12,fside_n13,fside_o14,fside_n14,fside_o15,fside_n15
1.77059935e-09,1.99999999e-01,1.49999999e+04,3.51848936e+18,1.96074739e-02,8.38452743e-10,4.02408752e-14,6.81434644e-04,4.73939491e-03,7.28770633e-21,4.76771831e-14,2.17683062e-01,4.26072708e-05,4.70726977e-04,1.07495883e-04,8.95683012e-15,4.89606731e-14,1.79906527e-23,4.53605087e-13,2.15123268e-07,9.68877769e-03,4.14059692e-02,8.62728464e+02,3.12921918e-03,1.20482522e-02,1.01853958e+02,1.76008097e+02,9.67649773e-07,4.94377982e-03,7.69180338e-01,1.28299002e-03,9.30540028e+01,1.70232320e+01,2.40929940e+00,8.39730175e-04,6.41102876e-01,6.00000141e-01,1.99999998e-01,4.13712600e+00,1.76911348e-07,1.53768708e-18,1.00000000e+00,1.00597616e-11,4.59305600e+01,1.78131320e+01,4.93444430e-11,2.05557580e-12,1.19187552e-16,1.42706963e-01,9.57098644e-11,7.39356716e-01
1.88664080e-09,1.99999999e-01,1.49999999e+04,3.51848071e+18,1.96074762e-02,8.93403267e-10,4.28781821e-14,6.81434617e-04,4.73939486e-03,8.27425163e-21,5.08018477e-14,2.17730991e-01,4.26166519e-05,4.70726975e-04,1.07495873e-04,9.54384240e-15,5.21694550e-14,2.04260676e-23,4.83333377e-13,2.15123248e-07,9.68877771e-03,4.14059693e-02,8.62728464e+02,3.12921919e-03,1.20482522e-02,1.01853958e+02,1.76008097e+02,9.67649775e-07,4.94377984e-03,7.69180340e-01,1.28299002e-03,9.30540028e+01,1.70232320e+01,2.40929940e+00,8.39730177e-04,6.41102878e-01,5.99999712e-01,2.00000019e-01,4.13712654e+00,1.88505768e-07,1.74584559e-18,1.00000000e+00,1.07190579e-11,4.59406733e+01,1.77579942e+01,4.93345446e-11,2.19030464e-12,1.32191277e-16,1.42706958e-01,1.01982498e-10,7.39295131e-01
2.01028738e-09,1.99999999e-01,1.49999998e+04,3.51847146e+18,1.96074787e-02,9.51955142e-10,4.56883331e-14,6.81434589e-04,4.73939480e-03,9.39434674e-21,5.41312964e-14,2.17782046e-01,4.26266449e-05,4.70726974e-04,1.07495863e-04,1.01693263e-14,5.55885340e-14,2.31911672e-23,5.15009991e-13,2.15123227e-07,9.68877773e-03,4.14059694e-02,8.62728464e+02,3.12921919e-03,1.20482522e-02,1.01853958e+02,1.76008097e+02,9.67649778e-07,4.94377985e-03,7.69180342e-01,1.28299003e-03,9.30540028e+01,1.70232321e+01,2.40929940e+00,8.39730180e-04,6.41102879e-01,5.99999926e-01,2.00000019e-01,4.13712711e+00,2.00860064e-07,1.98218278e-18,1.00000000e+00,1.14215630e-11,4.59514463e+01,1.77028563e+01,4.93240011e-11,2.33386411e-12,1.46427418e-16,1.42706954e-01,1.08666226e-10,7.39229523e-01
2.14203749e-09,1.99999999e-01,1.49999998e+04,3.51846154e+18,1.96074814e-02,1.01434440e-09,4.86826560e-14,6.81434558e-04,4.73939474e-03,1.06660705e-20,5.76789502e-14,2.17836430e-01,4.26372896e-05,4.70726973e-04,1.07495851e-04,1.08358030e-14,5.92316923e-14,2.63305815e-23,5.48762617e-13,2.15123204e-07,9.68877776e-03,4.14059695e-02,8.62728464e+02,3.12921920e-03,1.20482523e-02,1.01853958e+02,1.76008097e+02,9.67649781e-07,4.94377986e-03,7.69180344e-01,1.28299003e-03,9.30540028e+01,1.70232321e+01,2.40929940e+00,8.39730182e-04,6.41102881e-01,6.00000141e-01,1.99999998e-01,4.13712772e+00,2.14024037e-07,2.25051321e-18,1.00000000e+00,1.21701089e-11,4.59629219e+01,1.76477184e+01,4.93127708e-11,2.48683295e-12,1.61983026e-16,1.42706949e-01,1.15787993e-10,7.39159630e-01
2.28242224e-09,1.99999999e-01,1.49999998e+04,3.51845092e+18,1.96074842e-02,1.08082252e-09,5.18732212e-14,6.81434526e-04,4.73939467e-03,1.21099490e-20,6.14591100e-14,2.17894360e-01,4.26486284e-05,4.70726971e-04,1.07495839e-04,1.15459594e-14,6.31136157e-14,2.98949818e-23,5.84727310e-13,2.15123180e-07,9.68877778e-03,4.14059696e-02,8.62728464e+02,3.12921921e-03,1.20482523e-02,1.01853958e+02,1.76008097e+02,9.67649784e-07,4.94377988e-03,7.69180346e-01,1.28299004e-03,9.30540028e+01,1.70232322e+01,2.40929940e+00,8.39730185e-04,6.41102883e-01,5.99999926e-01,1.99999977e-01,4.13712838e+00,2.28050752e-07,2.55516786e-18,1.00000000e+00,1.29677130e-11,4.59751457e+01,1.75925806e+01,4.93008096e-11,2.64982783e-12,1.78946314e-16,1.42706944e-01,1.23376504e-10,7.39085172e-01
2.43200751e-09,1.99999999e-01,1.49999998e+04,3.51843954e+18,1.96074872e-02,1.15165750e-09,5.52728899e-14,6.81434492e-04,4.73939460e-03,1.37492870e-20,6.54870136e-14,2.17956066e-01,4.26607061e-05,4.70726970e-04,1.07495826e-04,1.23026578e-14,6.72499524e-14,3.39418990e-23,6.23049045e-13,2.15123154e-07,9.68877781e-03,4.14059697e-02,8.62728464e+02,3.12921922e-03,1.20482524e-02,1.01853958e+02,1.76008097e+02,9.67649788e-07,4.94377990e-03,7.69180348e-01,1.28299004e-03,9.30540028e+01,1.70232322e+01,2.40929940e+00,8.39730188e-04,6.41102885e-01,5.99999926e-01,1.99999977e-01,4.13712907e+00,2.42996752e-07,2.90106399e-18,1.00000000e+00,1.38175905e-11,4.59881661e+01,1.75374427e+01,4.92880706e-11,2.82350583e-12,1.97406465e-16,1.42706938e-01,1.31462350e-10,7.39005853e-01
2.59139630e-09,1.99999999e-01,1.49999998e+04,3.51842734e+18,1.96074904e-02,1.22713486e-09,5.88953665e-14,6.81434455e-04,4.73939453e-03,1.56105443e-20,6.97788978e-14,2.18021792e-01,4.26735707e-05,4.70726968e-04,1.07495813e-04,1.31089488e-14,7.16573761e-14,3.85366519e-23,6.63882294e-13,2.15123126e-07,9.68877784e-03,4.14059699e-02,8.62728464e+02,3.12921923e-03,1.20482524e-02,1.01853958e+02,1.76008097e+02,9.67649791e-07,4.94377991e-03,7.69180351e-01,1.28299004e-03,9.30540028e+01,1.70232323e+01,2.40929940e+00,8.39730191e-04,6.41102887e-01,6.00000355e-01,1.99999997e-01,4.13712981e+00,2.58922285e-07,3.29378450e-18,1.00000000e+00,1.47231671e-11,4.60020348e+01,1.74823048e+01,4.92745039e-11,3.00856708e-12,2.17453156e-16,1.42706932e-01,1.40078124e-10,7.38921356e-01
2.76123110e-09,1.99999999e-01,1.49999998e+04,3.51841426e+18,1.96074938e-02,1.30755887e-09,6.27552535e-14,6.81434416e-04,4.73939445e-03,1.77237621e-20,7.43520631e-14,2.18091798e-01,4.26872731e-05,4.70726966e-04,1.07495798e-04,1.39680824e-14,7.63536532e-14,4.37534016e-23,7.07391657e-13,2.15123097e-07,9.68877787e-03,4.14059700e-02,8.62728464e+02,3.12921924e-03,1.20482525e-02,1.01853958e+02,1.76008097e+02,9.67649795e-07,4.94377993e-03,7.69180354e-01,1.28299005e-03,9.30540028e+01,1.70232324e+01,2.40929940e+00,8.39730195e-04,6.41102890e-01,5.99999711e-01,1.99999997e-01,4.13713060e+00,2.75891548e-07,3.73966808e-18,1.00000000e+00,1.56880935e-11,4.60168067e+01,1.74271669e+01,4.92600568e-11,3.20575758e-12,2.39175917e-16,1.42706926e-01,1.49258557e-10,7.38831346e-01
2.94219653e-09,1.99999999e-01,1.49999998e+04,3.51840024e+18,1.96074974e-02,1.39325372e-09,6.68681102e-14,6.81434374e-04,4.73939437e-03,2.01230489e-20,7.92249442e-14,2.18166362e-01,4.27018674e-05,4.70726965e-04,1.07495782e-04,1.48835219e-14,8.13577147e-14,4.96763486e-23,7.53752517e-13,2.15123066e-07,9.68877791e-03,4.14059702e-02,8.62728464e+02,3.12921925e-03,1.20482526e-02,1.01853958e+02,1.76008097e+02,9.67649799e-07,4.94377995e-03,7.69180356e-01,1.28299005e-03,9.30540028e+01,1.70232324e+01,2.40929940e+00,8.39730198e-04,6.41102892e-01,6.00000033e-01,2.00000018e-01,4.13713144e+00,2.93972945e-07,4.24591147e-18,1.00000000e+00,1.67162591e-11,4.60325402e+01,1.73720291e+01,4.92446731e-11,3.41587221e-12,2.62663449e-16,1.42706919e-01,1.59040654e-10,7.38735464e-01
3.13502206e-09,1.99999999e-01,1.49999998e+04,3.51838519e+18,1.96075013e-02,1.48456485e-09,7.12505160e-14,6.81434329e-04,4.73939428e-03,2.28471301e-20,8.44171839e-14,2.18245777e-01,4.27174114e-05,4.70726963e-04,1.07495766e-04,1.58589574e-14,8.66897320e-14,5.64010915e-23,8.03151754e-13,2.15123032e-07,9.68877794e-03,4.14059703e-02,8.62728464e+02,3.12921926e-03,1.20482526e-02,1.01853958e+02,1.76008097e+02,9.67649803e-07,4.94377997e-03,7.69180360e-01,1.28299006e-03,9.30540028e+01,1.70232325e+01,2.40929940e+00,8.39730202e-04,6.41102895e-01,6.00000247e-01,2.00000018e-01,4.13713234e+00,3.13239365e-07,4.82068566e-18,1.00000000e+00,1.78118086e-11,4.60492975e+01,1.73168912e+01,4.92282932e-11,3.63975793e-12,2.88003115e-16,1.42706912e-01,1.69463848e-10,7.38633328e-01
