time,t9,rho,eps_nuc_erg_g_s,F_c12_pg_n13,F_n13_pg_o14,F_n13_bd_c13,F_c13_pg_n14,F_n14_pg_o15,F_o14_bd_n14,F_o15_bd_n15,F_n15_pa_c12,F_n15_pg_o16,F_o16_pg_f17,F_o17_pa_n14,F_f17_bd_o17,F_f17_pg_ne18,F_ne18_bd_f18,F_f18_pa_o15,F_o17_pg_f18,tau_c12_pg_n13,tau_n13_pg_o14,tau_n13_bd_c13,tau_c13_pg_n14,tau_n14_pg_o15,tau_o14_bd_n14,tau_o15_bd_n15,tau_n15_pa_c12,tau_n15_pg_o16,tau_o16_pg_f17,tau_o17_pa_n14,tau_f17_bd_o17,tau_f17_pg_ne18,tau_ne18_bd_f18,tau_f18_pa_o15,tau_o17_pg_f18,tau_T9,tau_rho,Q_c12_pg_n13,Q_n13_pg_o14,Q_o14_bd_n14,Q_n14_pg_o15,Q_o15_bd_n15,Q_n15_pa_c12,steady_flow_dispersion_dex,fside_c12,fside_n13,fside_o14,fside_n14,fside_o15,fside_n15
1.55314950e-05,7.00000000e-02,2.20000000e+04,2.48066320e+13,2.19033883e-06,3.14509090e-14,3.94321457e-14,7.96000412e-08,1.19901116e-08,2.39794136e-21,1.05804421e-15,3.26872364e-06,1.24762766e-09,1.04948171e-08,1.84055624e-09,1.75167301e-15,7.68403952e-20,2.47674439e-25,3.01247103e-18,8.62918867e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03237759e+06,2.97276701e+06,1.82678769e+02,2.62307058e-06,1.99993248e-13,1.00000000e+00,8.82430663e-08,2.72618283e+02,1.26989847e+01,1.59165978e-19,1.80027601e-08,7.75014063e-28,8.71668408e-01,2.51246266e-10,2.23618308e-01
1.63101960e-05,7.00000000e-02,2.20000000e+04,2.48064929e+13,2.19033884e-06,3.30277600e-14,4.14091512e-14,7.96000388e-08,1.19901116e-08,2.64441975e-21,1.11109126e-15,3.26869539e-06,1.24761688e-09,1.04948171e-08,1.84055622e-09,1.83949645e-15,8.06929338e-20,2.73132244e-25,3.16350694e-18,8.62918858e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03237759e+06,2.97276701e+06,1.82678770e+02,2.75458320e-06,2.20550053e-13,1.00000000e+00,9.26672996e-08,2.72615927e+02,1.26564928e+01,1.59166802e-19,1.89053625e-08,8.13870853e-28,8.71668405e-01,2.63842969e-10,2.23619631e-01
1.71279386e-05,7.00000000e-02,2.20000000e+04,2.48063467e+13,2.19033885e-06,3.46836695e-14,4.34852776e-14,7.96000364e-08,1.19901116e-08,2.91623303e-21,1.16679793e-15,3.26866572e-06,1.24760555e-09,1.04948171e-08,1.84055620e-09,1.93172309e-15,8.47386268e-20,3.01206789e-25,3.32211531e-18,8.62918848e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03259920e+06,2.97276701e+06,1.82678770e+02,2.89268946e-06,2.43219840e-13,1.00000000e+00,9.73133502e-08,2.72613452e+02,1.26140010e+01,1.59167668e-19,1.98532187e-08,8.54675802e-28,8.71668401e-01,2.77071231e-10,2.23621020e-01
1.79866803e-05,7.00000000e-02,2.20000000e+04,2.48061932e+13,2.19033886e-06,3.64226011e-14,4.56654946e-14,7.96000339e-08,1.19901116e-08,3.21598532e-21,1.22529756e-15,3.26863456e-06,1.24759366e-09,1.04948171e-08,1.84055618e-09,2.02857368e-15,8.89871582e-20,3.32167041e-25,3.48867581e-18,8.62918838e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03237759e+06,2.97353338e+06,1.82678771e+02,3.03771993e-06,2.68219798e-13,1.00000000e+00,1.02192339e-07,2.72610853e+02,1.25715092e+01,1.59168576e-19,2.08485973e-08,8.97526584e-28,8.71668398e-01,2.90962717e-10,2.23622479e-01
1.88884766e-05,7.00000000e-02,2.20000000e+04,2.48060320e+13,2.19033887e-06,3.82487174e-14,4.79550208e-14,7.96000312e-08,1.19901117e-08,3.54654840e-21,1.28673017e-15,3.26860185e-06,1.24758117e-09,1.04948171e-08,1.84055616e-09,2.13028006e-15,9.34486977e-20,3.66309613e-25,3.66358714e-18,8.62918828e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03237759e+06,2.97353338e+06,1.82678772e+02,3.19002179e-06,2.95789439e-13,1.00000000e+00,1.07315946e-07,2.72608124e+02,1.25290173e+01,1.59169531e-19,2.18938812e-08,9.42525771e-28,8.71668394e-01,3.05550678e-10,2.23624011e-01
1.98354862e-05,7.00000000e-02,2.20000000e+04,2.48058628e+13,2.19033888e-06,4.01663895e-14,5.03593369e-14,7.96000284e-08,1.19901117e-08,3.91108923e-21,1.35124283e-15,3.26856749e-06,1.24756806e-09,1.04948171e-08,1.84055613e-09,2.23708568e-15,9.81339250e-20,4.03961607e-25,3.84726796e-18,8.62918817e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03248838e+06,2.97353338e+06,1.82678772e+02,3.34995958e-06,3.26192894e-13,1.00000000e+00,1.12696434e-07,2.72605259e+02,1.24865255e+01,1.59170533e-19,2.29915723e-08,9.89781077e-28,8.71668390e-01,3.20870033e-10,2.23625619e-01
2.08299760e-05,7.00000000e-02,2.20000000e+04,2.48056851e+13,2.19033889e-06,4.21802077e-14,5.28841979e-14,7.96000254e-08,1.19901117e-08,4.31310030e-21,1.41898995e-15,3.26853141e-06,1.24755429e-09,1.04948171e-08,1.84055611e-09,2.34924621e-15,1.03054055e-19,4.45483748e-25,4.04015797e-18,8.62918805e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03243298e+06,2.97353338e+06,1.82678773e+02,3.51791616e-06,3.59721445e-13,1.00000000e+00,1.18346683e-07,2.72602249e+02,1.24440337e+01,1.59171586e-19,2.41442983e-08,1.03940562e-27,8.71668386e-01,3.36957453e-10,2.23627309e-01
2.18743263e-05,7.00000000e-02,2.20000000e+04,2.48054984e+13,2.19033891e-06,4.42949925e-14,5.55356476e-14,7.96000223e-08,1.19901117e-08,4.75643308e-21,1.49013370e-15,3.26849352e-06,1.24753983e-09,1.04948171e-08,1.84055608e-09,2.46703011e-15,1.08220865e-19,4.91273836e-25,4.24271887e-18,8.62918793e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03248838e+06,2.97200103e+06,1.82678774e+02,3.69429357e-06,3.96696311e-13,1.00000000e+00,1.24280218e-07,2.72599089e+02,1.24015418e+01,1.59172691e-19,2.53548183e-08,1.09151818e-27,8.71668381e-01,3.53851444e-10,2.23629083e-01
2.29710372e-05,7.00000000e-02,2.20000000e+04,2.48053024e+13,2.19033892e-06,4.65158061e-14,5.83200327e-14,7.96000191e-08,1.19901117e-08,5.24533494e-21,1.56484437e-15,3.26845374e-06,1.24752464e-09,1.04948171e-08,1.84055606e-09,2.59071933e-15,1.13646723e-19,5.41770560e-25,4.45543554e-18,8.62918781e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03243298e+06,2.97200103e+06,1.82678775e+02,3.87951398e-06,4.37471732e-13,1.00000000e+00,1.30511242e-07,2.72595770e+02,1.23590500e+01,1.59173852e-19,2.66260301e-08,1.14624350e-27,8.71668377e-01,3.71592448e-10,2.23630945e-01
2.41227337e-05,7.00000000e-02,2.20000000e+04,2.48050966e+13,2.19033893e-06,4.88479643e-14,6.12440183e-14,7.96000156e-08,1.19901117e-08,5.78448979e-21,1.64330081e-15,3.26841196e-06,1.24750870e-09,1.04948171e-08,1.84055603e-09,2.72060994e-15,1.19344616e-19,5.97457704e-25,4.67881716e-18,8.62918767e-12,8.67318426e+01,1.08166141e+03,8.62728464e+02,2.67884074e+01,4.76237711e+03,1.01853958e+02,1.76008097e+02,6.42133045e-02,1.68235727e+02,3.45002617e+04,7.49318628e+01,9.30540028e+01,2.12128250e+06,2.40929940e+00,4.44897858e+01,1.59825348e+04,1.03254379e+06,2.97276701e+06,1.82678776e+02,4.07402078e-06,4.82438356e-13,1.00000000e+00,1.37054670e-07,2.72592285e+02,1.23165582e+01,1.59175071e-19,2.79609764e-08,1.20371257e-27,8.71668372e-01,3.90222929e-10,2.23632902e-01
